Company,Headline,Time,Link,Scraped_At,Announcement_Datetime,pdf_link,Annoucement_Description,vader_score,textblob_score,bert_sentiment,confidence,final_sentiment
Neueon Towers,Announcement under Regulation 30 (LODR)-Newspaper Publication,10m ago,https://www.screener.in/company/NTL/consolidated/,2025-05-18T10:05:36.261024,2025-05-18 09:55:36.261024,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=414c441f-317b-46ce-9120-281a87ccab4c.pdf,ref ntl2025260119lsd date may 18 2025 to the listing compliance department ms. bse limited phiroze jeejeebhoy towers dalal street mumbai 400001 scrip code 532887 the listing compliance department ms. national stock exchange of india limited exchange plaza floor plot no. c1 g block bandra kurla complex bandra e mumbai 400 051 scrip symbol ntl dear sirmadam sub newspaper advertisement for publication of audited financial results for the quarter and year ended march 31 2025. please find enclosed copies of the newspaper advertisement published by the company in the newspapers i.e. financial express english and nava telangana regional on sunday may 2025 regarding publication of audited financial results standalone and consolidated of the company for quarter and year ended march 31 2025. kindly take the intimation on record. thanking you yours sincerely for neueon towers limited subrat sahoo company secretary gmlegal encl aa,0.34,0.05857142857142857,0.15622547268867493,0.20043907037803105,Positive
Desco Infra.,Announcement under Regulation 30 (LODR)-Press Release / Media Release (Revised),7h ago,https://www.screener.in/company/544387/,2025-05-18T10:05:39.978865,2025-05-18 03:05:39.978865,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=524f2431-2093-477e-8947-d6531c5ea48a.pdf,desco infratech limited an iso 90012015 co. formerly desco infratech pvt ltd cin no. u45201gj2011plc063710 to the manager listing department bse limited p.j. towers dalal street fort mumbai 400001 maharashtra india. scrip idcode desco544387 sub revised press release audited financial results of the company for the half year and year ended march 2025. dear sirmadam pursuant to regulation 30 of the sebi listing obligations and disclosure requirements regulations 2015 we wish to inform you that the company has announced the audited financial results for the half year and year ended march 2025. the revised press release with reference to the same is enclosed herewith. kindly take the aforementioned submission on your records. thank you yours faithfully for desco infratech limited formerly known as desco infratech private limited muskan khandal company secretary compliance officer 91 261 4501819 reg. office a703 swastik universal beside valentine multiplex dumas road surat 395007. muskan omprakash khandal digitally signed by muskan omprakash khandal date 2025.05.18 020744 0530 desco infratech limited press release year ended 31 march 25 surat 18 may 2025 desco infratech limited pat growth of 173% yoy in fy25 ebitda growth of 148% yoy to 13.35 cr revenue from operations up by 102% yoy to 359.45 cr net worth up by 386% yoy to x58.88 cr order book 3270 crores as on date particulars x in crores fy25 fy24 yoy revenue from operations % 59.45 x29.39 102% ebitda x13.35 x539 148% ebitda margin % 22% 18% 1 profit after tax 9.06 2332 173% pat margin % 15.24% 11.30% 1 net worth %58.88 1211 386% the company reported a substantial increase in revenue in fy 202425 achieving a yoy growth of 102%. this strong performance was led by efficient project execution across city gas distributi,0.9763,0.037888198757763975,0.47569310665130615,0.5445943916227209,Very Positive
Desco Infra.,Announcement under Regulation 30 (LODR)-Press Release / Media Release,9h ago,https://www.screener.in/company/544387/,2025-05-18T10:05:41.655189,2025-05-18 01:05:41.655189,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=524f2431-2093-477e-8947-d6531c5ea48a.pdf,desco infratech limited an iso 90012015 co. formerly desco infratech pvt ltd cin no. u45201gj2011plc063710 to the manager listing department bse limited p.j. towers dalal street fort mumbai 400001 maharashtra india. scrip idcode desco544387 sub revised press release audited financial results of the company for the half year and year ended march 2025. dear sirmadam pursuant to regulation 30 of the sebi listing obligations and disclosure requirements regulations 2015 we wish to inform you that the company has announced the audited financial results for the half year and year ended march 2025. the revised press release with reference to the same is enclosed herewith. kindly take the aforementioned submission on your records. thank you yours faithfully for desco infratech limited formerly known as desco infratech private limited muskan khandal company secretary compliance officer 91 261 4501819 reg. office a703 swastik universal beside valentine multiplex dumas road surat 395007. muskan omprakash khandal digitally signed by muskan omprakash khandal date 2025.05.18 020744 0530 desco infratech limited press release year ended 31 march 25 surat 18 may 2025 desco infratech limited pat growth of 173% yoy in fy25 ebitda growth of 148% yoy to 13.35 cr revenue from operations up by 102% yoy to 359.45 cr net worth up by 386% yoy to x58.88 cr order book 3270 crores as on date particulars x in crores fy25 fy24 yoy revenue from operations % 59.45 x29.39 102% ebitda x13.35 x539 148% ebitda margin % 22% 18% 1 profit after tax 9.06 2332 173% pat margin % 15.24% 11.30% 1 net worth %58.88 1211 386% the company reported a substantial increase in revenue in fy 202425 achieving a yoy growth of 102%. this strong performance was led by efficient project execution across city gas distributi,0.9763,0.037888198757763975,0.47569310665130615,0.5445943916227209,Very Positive
Desco Infra.,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation,9h ago,https://www.screener.in/company/544387/,2025-05-18T10:05:43.319861,2025-05-18 01:05:43.319861,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ac1d0fd1-4bf9-4b57-a6a4-e6424a7aaeeb.pdf,desco infratech limited an iso 90012015 co. formerly desco infratech pvt ltd cin no. u45201g32011plco63710 to the manager listing department bse limited p.j. towers dalal street fort mumbai 400001 maharashtra india. scrip idcode desco544387 sub schedule of post results earnings call with investorsanalysts. ref intimation under regulation 30 and other applicable regulations of sebi listing obligation disclosure requirements regulations 2015 dear sirmadam pursuant to regulation 30 of the sebi listing obligations and disclosure requirements regulations 2015 we wish to inform you that we have scheduled a conference call with analystsinvestors on wednesday may 21 2025 at 1200 pm to discuss the audited financial results for the half year and year ended march 31 2025. conference call details attached herewith during the meeting the company representatives will discuss publicly available information and will not share any unpublished pricesensitive information. this intimation is being made available on the companys website at kindly take the aforementioned submission on your records. thank you yours faithfully for desco infratech limited formerly known as desco infratech private limited muskan khandal company secretary compliance officer 91 261 4501819 reg. office a703 swastik universal beside valentine multiplex dumas road surat 395007. muskan omprakash khandal digitally signed by muskan omprakash khandal date 2025.05.18 002333 0530,0.6264,0.05141369047619048,0.14928151667118073,0.31076856214421134,Positive
Dhanuka Agritech,Announcement under Regulation 30 (LODR)-Newspaper Publication,9h ago,https://www.screener.in/company/DHANUKA/consolidated/,2025-05-18T10:05:44.968904,2025-05-18 01:05:44.968904,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=414c441f-317b-46ce-9120-281a87ccab4c.pdf,ref ntl2025260119lsd date may 18 2025 to the listing compliance department ms. bse limited phiroze jeejeebhoy towers dalal street mumbai 400001 scrip code 532887 the listing compliance department ms. national stock exchange of india limited exchange plaza floor plot no. c1 g block bandra kurla complex bandra e mumbai 400 051 scrip symbol ntl dear sirmadam sub newspaper advertisement for publication of audited financial results for the quarter and year ended march 31 2025. please find enclosed copies of the newspaper advertisement published by the company in the newspapers i.e. financial express english and nava telangana regional on sunday may 2025 regarding publication of audited financial results standalone and consolidated of the company for quarter and year ended march 31 2025. kindly take the intimation on record. thanking you yours sincerely for neueon towers limited subrat sahoo company secretary gmlegal encl aa,0.34,0.05857142857142857,0.15622547268867493,0.20043907037803105,Positive
Mangalam Drugs,"Approval Of Financial Results For The Quarter And Year Ended 31St March, 2025",9h ago,https://www.screener.in/company/MANGALAM/consolidated/,2025-05-18T10:05:46.825862,2025-05-18 01:05:46.825862,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e1d65f51-a469-4a58-8983-704c6555b157.pdf,mangoam drugs and organics limited .i ..___ regd. office rupam building floor 239 p. dmello road near g. p. 0. mumbai ool. wiiogmp 912262616200 6300 8787. 912262619090 cin l24230mh1972plcll64l3 accredited ref mdolcsse2025 26006 to listing department bse ltd floor new trade wing phiroze jeejeebhoy towers dalal street fort mumbai 400 001. scrip code 532637 may 17 2025 listing department national stock exchange of india limited exchange plaza floor plot no. g1 block g sandra kurla complex bandrae mumbai 400 051 symbol mangalam sub outcome of the board meetini held on saturday may 17 2025 ref reulation 30 read with schedule iii of the sebi listini obliations and disclosure reguirements reiulations 2015 sebi lodr reiulations read with sebi circular cir cfd cmd 4 2015 dated september 09 2015 dear sir madam with respect to the captioned subject and mentioned reference we are pleased to inform that the board of directors of the company in their meeting held today i.e. saturday may 17 2025 has interalia transacted considered and approved the following business the audited financial results standalone and consolidated along with the audit report of the company in respect of the both for the quarter and financial year ended march 31 2025 pursuant to regulation 33 of the sebi lodr regulations. a copy of the said results notes thereto and auditors report is annexed hereto and marked as annexure i. appointment secretarial auditor of the company for financial year 202324. brief profile is attached herewith as annexure 11 pursuant to regulation 333d of the listing regulations we hereby declare that in respect of the audited financial results standalone and consolidated for the quarter and financial year ended march 31 2025 the statutory auditors have not expressed any,0.9022,0.015122655122655124,0.1247619092464447,0.40284536931073,Positive
Bombay Super Hyb,Appointment,7h ago,https://www.screener.in/company/BSHSL/,2025-05-18T10:05:49.333778,2025-05-18 03:05:49.333778,https://nsearchives.nseindia.com/corporate/BSHSL_17052025235238_AppointmentOfInternalAuditorSigned.pdf,ref. bshslnseappointmentofinternalauditor may 17 2025 to national stock exchange of india ltd. exchange plaza plot no. c1 g block bandrakurla complex bandra e mumbai 400 051 ph 022265981008114 fax no 02226598120 sub. appointment of internal auditors ref. regulation 30 of the sebi lodr regulations 2015 script symbol bshsl dear sir madam in compliance with regulation 30 of the sebi lodr regulations 2015 we wish to inform you that based on the recommendation of the audit committee the board of directors at its meeting held today i.e. may 17 2025 has approved the appointment of ms h. h. atkotiya associates chartered accountant firm registration no. as the internal auditors of the company for the financial year 202526. disclosure as required under regulation 30 of the sebi lodr regulations 2015 read with relevant sebi circulars including amendments thereto from time to time is attached as annexurea. you are requested to take on your record and confirm the receipt of the same. thanking you. yours faithfully for bombay super hybrid seeds limited arvindkumar j. kakadia managing director din 06893183 kakadiya arvind jadavji digitally signed by kakadiya arvind jadavji date 2025.05.17 230740 0530 annexurea pursuant to regulation 30 read with schedule iii of sebi listing obligations disclosure requirements regulations 2015 and sebi circular no. sebihocfdcfdpod1pcir2023123 date,0.4939,0.016190476190476193,0.12520024180412292,0.23997721539837974,Positive
R Systems Intl.,Intimation Of The Date Of 31St Annual General Meeting,9h ago,https://www.screener.in/company/RSYSTEMS/consolidated/,2025-05-18T10:05:52.658521,2025-05-18 01:05:52.658521,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=17e54fc1-0abc-4443-8b09-c774b52397f6.pdf,r systems international limited corporate identity number l74899dl1993plc053579 registered office gf1a 6 devika tower nehru place new delhi 110019 india corporate office floor tower no. 1 itites sez of artha infratech pvt. ltd plot no. 21 sector techzoneiv greater noida west gautam buddha nagar uttar pradesh 201306 india rsystems.com phone 911204303500 email ref sect05202527 may 17 2025 national stock exchange of india limited exchange plaza bandra kurla complex bandra east mumbai 400 051 nse symbol rsystems bse limited p. j. towers dalal street mumbai 400001 bse scrip code 532735 dear sir sub disclosure under regulation 30 of sebi listing obligations and disclosure requirements regulations 2015 pursuant to the applicable provisions of the sebi listing obligations disclosure requirements regulations 2015 we wish to inform you that the board of directors of r systems international limited company through resolution passed via circulation approved the convening of annual general meeting of the company on thursday june 12 2025 at 1000 a.m. ist through video conferencing vc other audio visual means oavm. a soft copy of notice of annual general meeting and annual report shall be sent in due course. this is for your information and record. thanking you. yours faithfully for r systems international limited bhasker dubey company secretary compliance officer bhaske r dubey digitally signed by bhasker dubey date 2025.05.17 233430 0530,0.4215,-0.0035389610389610334,0.027028627693653107,0.17564689999640762,Positive
Amber Enterp.,Announcement under Regulation 30 (LODR)-Press Release / Media Release,0m ago,https://www.screener.in/company/AMBER/consolidated/,2025-05-18T10:05:55.039781,2025-05-18 10:05:55.039781,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=524f2431-2093-477e-8947-d6531c5ea48a.pdf,desco infratech limited an iso 90012015 co. formerly desco infratech pvt ltd cin no. u45201gj2011plc063710 to the manager listing department bse limited p.j. towers dalal street fort mumbai 400001 maharashtra india. scrip idcode desco544387 sub revised press release audited financial results of the company for the half year and year ended march 2025. dear sirmadam pursuant to regulation 30 of the sebi listing obligations and disclosure requirements regulations 2015 we wish to inform you that the company has announced the audited financial results for the half year and year ended march 2025. the revised press release with reference to the same is enclosed herewith. kindly take the aforementioned submission on your records. thank you yours faithfully for desco infratech limited formerly known as desco infratech private limited muskan khandal company secretary compliance officer 91 261 4501819 reg. office a703 swastik universal beside valentine multiplex dumas road surat 395007. muskan omprakash khandal digitally signed by muskan omprakash khandal date 2025.05.18 020744 0530 desco infratech limited press release year ended 31 march 25 surat 18 may 2025 desco infratech limited pat growth of 173% yoy in fy25 ebitda growth of 148% yoy to 13.35 cr revenue from operations up by 102% yoy to 359.45 cr net worth up by 386% yoy to x58.88 cr order book 3270 crores as on date particulars x in crores fy25 fy24 yoy revenue from operations % 59.45 x29.39 102% ebitda x13.35 x539 148% ebitda margin % 22% 18% 1 profit after tax 9.06 2332 173% pat margin % 15.24% 11.30% 1 net worth %58.88 1211 386% the company reported a substantial increase in revenue in fy 202425 achieving a yoy growth of 102%. this strong performance was led by efficient project execution across city gas distributi,0.9763,0.037888198757763975,0.47569310665130615,0.5445943916227209,Very Positive
ATV Projects,Compliances-Reg.24(A)-Annual Secretarial Compliance,0m ago,https://www.screener.in/company/ATVPROJ/,2025-05-18T10:05:56.701290,2025-05-18 10:05:56.701290,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=af4e3df8-47d9-45d6-b887-84f1a36821fd.pdf,atv projects india limited an iso 90012015 certiﬁed company registered office 1201 floor windfall building sahar plaza complex andheri kurla road j.b. nagar andheri e mumbai 400 059. tel. 912267418212 66969449 email id cin l99999mh1987plc042719 mathura office works delhi agra bypass post krishnanagar mathura 281 001. website. to the department of corporate service bombay stock exchange ltd phiroze jeejeebhoy towers dalal street mumbai 400 001. scrip code 500028 sub annual secretarial compliance report for the year ended march 31 2025 as per regulation of sebi listing obligations and disclosure requirements regulations 2015 listing regulations dear sir pursuant to regulation of the listing regulations read with sebi circular no. circfdcmd1272019 dated february 8 2019 please find enclosed the annual secretarial compliance report for the year ended march 31 2025. this is for your information and record. yours faithfully for atv projects india limited sarada patro compliance officer encl aa sarada patro digitally signed by sarada patro dn cin postalcode411021 stmaharashtra streetflat 103 divyashanti residence sus gaon punesus gaon 411021 lpune opersonal serialnumber51b86f9edc29037320e3e1c00db18d2734d50b9f81b4d788e3 054e807bc75596 pseudonym8e24ddf670964fcd96a8c70accd9eb8b 2.e42c60bab2c8a2b0efd4ad009c325da8f79e90d18660fcb587aba5e1 1f894248 cnsarada patro date 2025.05.17 124241 0530 _____________nd associates____________ ____________________practising company secretaries_____________________ neeta h. de,0.4019,-0.08857142857142856,-0.0622769258916378,0.1155054936610801,Positive
