Company,Headline,Description,Time,pdf_link,vader_score,textblob_score,bert_sentiment,confidence,final_sentiment,Chart_Pattern,Tech_Indicator
Manas Properties Ltd,"Submission Of Standalone Audited IND-AS Compliant Financial Results For Quarter And Year Ended 31St, March, 2025 With Audit Report In Pursuance Of Regulation 33 Of Listing Obligation And Disclosure Requirement, 2015 Along With Statement Of Assets And Liabilities For Half Year And Year Ended 31St, March, 2025.",As per attachment.,23-05-2025 18:15:31,https://www.bseindia.com/xml-data/corpfiling/AttachLive/d2cc73ee-8957-4fe2-84b5-8e7f975b23c7.pdf,0.9246,0.0095238095238095,0.031976044178009,0.3822899561105455,Positive,,
Batliboi Ltd-$,"Results For The Financial Year Ended 31St March, 2025 (Standalone & Consolidated)","Please find attached herewith Audited Financial Results for the Financial Year ended 31st March, 2025 (Standalone & Consolidated) along with Auditors Report thereon.",23-05-2025 18:08:10,https://www.bseindia.com/xml-data/corpfiling/AttachLive/7404cae4-b322-4166-a681-91b98268a07c.pdf,0.9723,0.0127777777777777,0.0087308995425701,0.5953726031961044,Positive,,
Concord Drugs Ltd,"Financial Results For Quarter And Financial Year Ending March 31 St, 2025.","Consolidated and Standalone Financial Results for Quarter and Financial Year ending 31st March,2025.",23-05-2025 18:05:29,https://www.bseindia.com/xml-data/corpfiling/AttachLive/e2c57563-71ea-4170-9af9-2f76bee93dee.pdf,0.7351,0.0297619047619047,0.0771910101175308,0.3261258744638307,Positive,,
S Chand and Company Ltd,"Audited Financial Results For The Quarter And Year Ended March 31, 2025","Audited Standalone and Consolidated Financial Results for the quarter and year ended March 31, 2025",23-05-2025 18:05:01,https://www.bseindia.com/xml-data/corpfiling/AttachLive/65bd56c9-2d40-4c44-962e-df94d63234ab.pdf,0.34,0.0423933209647495,0.0618416294455528,0.1672704851230907,Positive,,
Azad Engineering Ltd,"Outcome Of The 02/2025-2026 Board Meeting Held On May 23, 2025.","Outcome of the 02/2025-2026 Board Meeting held on May 23, 2025.",23-05-2025 18:04:09,https://www.bseindia.com/xml-data/corpfiling/AttachLive/5dd85eb1-08ee-4021-8d34-2109e57f8014.pdf,-0.34,-0.0376984126984127,0.0397263430058956,0.1353916209077551,Negative,Inverse Head and Shoulders,Supertrend
Softbpo Global Services Ltd,"Audited Financial Results (Standalone & Consolidated) For The Quarter And Year Ended March 31, 2025","Audit Fiancial Results (Standalone & Consolidated) for the quarter and year ended March 31, 2025",23-05-2025 17:58:06,https://www.bseindia.com/xml-data/corpfiling/AttachLive/8a4df773-6634-4f38-ac92-a975a5f45d84.pdf,0.8442,-0.0375661375661375,-0.0006858520209789,0.326204403123865,Positive,,
Permanent Magnets Ltd-$,March 2025,Audited (Standalone & Consolidated) Result - March 2025,23-05-2025 17:56:25,https://www.bseindia.com/xml-data/corpfiling/AttachLive/df63ffdf-56c8-4019-aec5-256af14c7a1b.pdf,0.9001,-0.0218253968253968,-0.0055024698376655,0.3518416400010813,Positive,,
Rashi Peripherals Ltd,"Financial Results For Quarter And Year Ended March 31, 2025","Please find attached herewith Financial Results for quarter and year ended March 31, 2025",23-05-2025 17:55:15,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4ce5060f-ae60-4291-baf2-0fbc652cddaa.pdf,0.7717,-0.0412698412698412,0.0130049176514148,0.3002005229144721,Positive,Inverse Head and Shoulders,
Linde India Ltd,Audited Standalone And Consolidated Financial Results For The Financial Year Ended 31 March 2025,Please find enclosed our letter no. Sect/29 dated 23 May 2025 enclosing therewith Audited Standalone and Consolidated Financial Results of the Company for the financial year ended 31 March .... Read More..,23-05-2025 17:53:30,https://www.bseindia.com/xml-data/corpfiling/AttachLive/93842339-21d2-4c87-8667-0b1137b6a56c.pdf,0.7506,0.0468122786304604,0.0672404244542121,0.5344558109254018,Positive,Inverse Head and Shoulders,
Arrowhead Seperation Engineering Ltd,"Results For The Financial Year Ended March 31, 2025","Results for the Financial Year Ended March 31, 2025",23-05-2025 17:52:34,https://www.bseindia.com/xml-data/corpfiling/AttachLive/9c906800-286d-4656-898b-5d5981e8f367.pdf,0.93,0.0212121212121212,-0.0159446895122528,0.3735802295099605,Positive,,
Tirth Plastic Ltd,"COMPLIANCE OF REGULATION 33 OF SECURITIES AND EXCHANGE BOARD OF INDIA (LISTING OBLIGATIONS AND DISCLOSURES REQUIREMENTS) REGULATIONS, 2015 FOR M/S. TIRTH PLASTICS LIMITED","Kindly find enclosed herewith audited financial result for the quarter and year ended on 31st March,2025 along with audit report.",23-05-2025 17:51:23,https://www.bseindia.com/xml-data/corpfiling/AttachLive/5e70b0ad-6922-4fe8-b82d-40e35c41be2e.pdf,0.3612,0.0242063492063492,0.2711762189865112,0.2330947704578581,Positive,,
Swan Defence And Heavy Industries Ltd,"Results For March 31, 2025","Results for March 31, 2025",23-05-2025 17:48:27,https://www.bseindia.com/xml-data/corpfiling/AttachLive/d3454506-38ec-4810-8edb-87d141667f2d.pdf,0.8225,0.011204481792717,0.1118514090776443,0.3659167672611084,Positive,,
Pix Transmissions Ltd,Audited Financial Results For The Quarter And Year Ended 31St March 2025,Audited Standalone and Consolidated Financial Results for the quarter and year ended 31st March 2025,23-05-2025 17:47:01,https://www.bseindia.com/xml-data/corpfiling/AttachLive/3130e65c-10b0-4bb4-bd0a-7ffe2577dece.pdf,0.5994,-0.0742857142857142,0.3382079303264618,0.3189366648122242,Positive,,
Biogen Pharmachem Industries Ltd,"Regulations 30, 33 And Other Applicable Provisions Of The SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015",PFA,23-05-2025 17:46:07,https://www.bseindia.com/xml-data/corpfiling/AttachLive/711db1b2-bf1a-4ea7-b0f7-09e3f0153cdb.pdf,0.7184,0.0415584415584415,0.0504249520599842,0.3149550180855277,Positive,,
Chemtech Industrial Valves Ltd,"Results_Financial Results For March 31St , 2025","Kindly find enclosed the Financials for 31st March, 2025",23-05-2025 17:46:02,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4ace3113-8085-4ba0-a556-17cde6e9f90b.pdf,0.9814,0.1958333333333333,0.1045873686671257,0.4826862106001377,Positive,,
Grovy India Ltd,Financial Result For The Quarter And Year Ended March 2025,Financial Result for the quarter and year ended march 2025,23-05-2025 17:45:48,https://www.bseindia.com/xml-data/corpfiling/AttachLive/6225423d-7911-44f2-8e10-00e8c8372c4c.pdf,0.8126,-0.0238095238095238,0.1238927394151687,0.3550649646816935,Positive,,
Krishna Capital and Securities Ltd,"Results-Audited Financial Results For Mar 31, 2025","Audited Standalone and Consolidated Financial Results for the Quarter and Year Ended on Mar 31, 2025.",23-05-2025 17:45:17,https://www.bseindia.com/xml-data/corpfiling/AttachLive/f94fb568-30f8-4564-bfde-bc21dd691cf7.pdf,0.9325,0.1031746031746031,0.1376029103994369,0.445233254072212,Positive,,
Mindteck (India) Ltd,"Submission Of Financial Results Pursuant To Regulation 33 Of SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015 Held On May 23, 2025","Financial Results for the Quarter and Year ended March 31, 2025 along with Press Release",23-05-2025 17:43:52,https://www.bseindia.com/xml-data/corpfiling/AttachLive/9b7d52fa-8502-44ef-945a-1d3be5c057aa.pdf,0.7184,-0.0369963369963369,0.0464974716305732,0.2902103403902709,Positive,,
Chandni Machines Ltd,"Audited Financial Results For The Quarter And Year Ended 31St March, 2025.","Audited Financial Results for the quarter and year ended 31st March, 2025.",23-05-2025 17:43:10,https://www.bseindia.com/xml-data/corpfiling/AttachLive/12456b92-dfaf-48b1-b014-b289adfc8a4c.pdf,0.875,0.0183673469387755,0.1305492520332336,0.3946749796916028,Positive,,
Elango Industries Ltd,"Audited Financial Results For The Year Ended 31St March, 2025","Please find enclosed herewith the Audited financial results for the year ended 31st March, 2025 as approved by the Board of Directors at their Meeting held on 23rd May, 2025",23-05-2025 17:42:50,https://www.bseindia.com/xml-data/corpfiling/AttachLive/d0166451-2a9f-4de1-8356-af2626954f8d.pdf,0.836,0.0421768707482993,-0.021693117916584,0.3405451258495146,Positive,,
GPT Healthcare Ltd,Results-Financial Results For The Q4FY2025,Please find enclosed herewith Audited Financial Results for Q4FY2025.,23-05-2025 17:40:58,https://www.bseindia.com/xml-data/corpfiling/AttachLive/742a906a-08f4-4eb4-8c32-06c5bcbcad3c.pdf,-0.836,0.0084033613445378,-0.0160997733473777,0.336708923600852,Negative,Inverse Head and Shoulders,
IITL Projects Ltd,"Annual Audited Standalone Financial Results For The Quarter And Financial Year Ended March 31, 2025","Pursuant to Regulation 33 of SEBI (LODR), Regulations, 2015, please find attached the Annual Audited Financial Results for the quarter and financial year ended March 31, 2025.",23-05-2025 17:37:54,https://www.bseindia.com/xml-data/corpfiling/AttachLive/cd9223ff-a787-478a-be2b-158a750760b8.pdf,0.7845,-0.0151098901098901,-0.0306857340037822,0.3000613127658983,Positive,,
Super Spinning Mills Ltd,Results For The Financial Year Ended Mar 31St 2025,Results for the financial year ended Mar 31st 2025- Revised,23-05-2025 17:37:48,https://www.bseindia.com/xml-data/corpfiling/AttachLive/0fd50246-b1d5-4271-b62b-8b3bd3f5ad63.pdf,0.7717,-0.0020833333333333,0.0552987307310104,0.3246446192193032,Positive,Inverse Head and Shoulders,
Sal Automotive Ltd,Financial Result For The Year Ended 31St March 2025,Outcome of the Board Meeting dated 23rd May 2025 containing Audited financial Results for year ended 31st March 2025,23-05-2025 17:36:59,https://www.bseindia.com/xml-data/corpfiling/AttachLive/37e9b853-80df-4db7-9a00-a5c7e2fe778a.pdf,0.9153,0.024047619047619,0.1248540580272674,0.610790503122466,Positive,,
SV Trading & Agencies Ltd,"Financial Results For Quarter And Year Ended March 31, 2025","Financial Results for quarter and year ended March 31, 2025",23-05-2025 17:27:23,https://www.bseindia.com/xml-data/corpfiling/AttachLive/25ea3ea2-7c7a-4e44-9613-7045e36b4324.pdf,0.9578,-0.0303030303030303,0.0253940317779779,0.3816473004424843,Positive,,
Cello World Ltd,"Financial Results As On March 31, 2025","Financial results as on March 31, 2025",23-05-2025 17:26:39,https://www.bseindia.com/xml-data/corpfiling/AttachLive/f5ec4e10-1bb5-4378-a076-1b221ec929d1.pdf,0.9246,-0.0466269841269841,0.0402150861918926,0.5679164306194726,Positive,Inverse Head and Shoulders,"Supertrend, ADX Signal"
Amkay Products Ltd,"Audited Financial Result For The Financial Year 31St March, 2025","Audited Financial Result for the Financial Year 31st March, 2025",23-05-2025 17:26:10,https://www.bseindia.com/xml-data/corpfiling/AttachLive/3f30b507-2ebf-4efd-9087-f08f361a2343.pdf,0.9022,0.0168498168498168,0.0468919910490512,0.3800025423696605,Positive,,
Devhari Exports (India) Ltd,Financial Results,Financial Results,23-05-2025 17:25:39,https://www.bseindia.com/xml-data/corpfiling/AttachLive/a1c05fec-c7c7-4faa-97c5-ed09526da460.pdf,0.6597,-0.0269841269841269,0.0072414688766002,0.2579572025677419,Positive,,
M. K. Proteins Ltd,"Audited Standalone Financial Results Of The Company For The Quarter And Year Ended On 31St March, 2025","We hereby inform that the Board of Directors of the Company at its meeting held today i.e. on Friday, May 23, 2025, inter alia, considered and approved the following matters: 1. Audited .... Read More..",23-05-2025 17:23:58,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4867f5ff-68e1-4232-b282-dc2d5eea628c.pdf,0.3182,-0.0089285714285714,-0.0591584295034408,0.1068538997203963,Positive,,
Khazanchi Jewellers Ltd,"Financial Results For The Half Year And Year Ended March 31, 2025","Financial Results for the half year and year ended March 31, 2025",23-05-2025 17:19:53,https://www.bseindia.com/xml-data/corpfiling/AttachLive/705ccd34-41d6-437a-8d02-81bc519a4b1b.pdf,0.8126,0.0684981684981684,0.284745842218399,0.4310132032149703,Positive,,
Superior Finlease Ltd,Financial Result For The Quarter And Year Ended 31 March 2025,Please refer the attached financial result for the quarter and year ended 31 March 2025,23-05-2025 17:18:52,https://www.bseindia.com/xml-data/corpfiling/AttachLive/ac1c18a0-343f-4a3f-958d-25173b7b64a3.pdf,0.8316,0.0458333333333333,-0.2797396779060364,0.2624680966281891,Positive,,
Kashyap Tele-Medicines Ltd,"Audited Financial Results Along With Auditor'S Report Thereon For The Quarter And Financial Year Ended On 31St March, 2025, As Prepared In Accordance With Regulation 33 Of The Listing Regulations And Schedule III Of The Companies Act, 2013 Read With Companies (Indian Accounting Standards) Rules, 2015 (IND-AS)",Audited Financial Results along with Auditor''s report for the Financial Year Ended on 31.03.2025.,23-05-2025 17:12:26,https://www.bseindia.com/xml-data/corpfiling/AttachLive/81cb52bb-d526-44fb-9bfa-0d2fd09eae4b.pdf,0.8176,-0.044345238095238,-0.0133540146052837,0.3097302241898435,Positive,,
Super Fine Knitters Ltd,"Results- Financial Year For The Year Ended March 31, 2025","Results- Financial Year for the ended March 31, 2025",23-05-2025 17:10:27,https://www.bseindia.com/xml-data/corpfiling/AttachLive/8b81ddfc-c00f-4e42-a3eb-c00b2fe90b6c.pdf,0.9201,0.1218614718614718,0.4567859768867492,0.5416342346244664,Positive,,
Pharmaids Pharmaceuticals Ltd,Submission Of Audited Financial Results Along With Auditors Report For The Quarter And Year Ended 31St March 2025,Submission of Audited Financial Results along with Auditors report.,23-05-2025 17:06:27,https://www.bseindia.com/xml-data/corpfiling/AttachLive/605991b9-8f74-4c28-a759-1ab057281fd9.pdf,0.891,0.0925925925925926,0.0528331324458122,0.4000277175115215,Positive,,
Super Spinning Mills Ltd,"Financial Results For Mar 31St, 2025","Results - Financial Results for Mar 31st, 2025",23-05-2025 17:06:02,https://www.bseindia.com/xml-data/corpfiling/AttachLive/09b4f8ab-9389-41e3-877a-50f67334d574.pdf,0.7717,-0.0020833333333333,0.0552987307310104,0.3246446192193032,Positive,Inverse Head and Shoulders,
KPT Industries Ltd,"Audited Financial Results For The Quarter And Year Ended On 31St March, 2025.","Pursuant to Regulation 33 read with Para A of Part A of Schedule III of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, we are enclosing herewith Certificate .... Read More..",23-05-2025 17:03:30,https://www.bseindia.com/xml-data/corpfiling/AttachLive/86da3b81-f7e8-4bc5-9b9f-66eb10baf510.pdf,0.3818,0.0300595238095238,0.01754667237401,0.1670018588550601,Positive,,
Camlin Fine Sciences Ltd,"Audited Financial Results 31St March, 2025","Audited Financial Results 31st March, 2025",23-05-2025 17:02:39,https://www.bseindia.com/xml-data/corpfiling/AttachLive/000ff81f-1a74-49e7-9b13-3548459423ed.pdf,0.7351,-0.0138888888888888,0.0074572749435901,0.2921105158164104,Positive,Inverse Head and Shoulders,
Pasupati Spinning & Weaving Mills Ltd,Results-Financial Results For 31/03/2025,Submission of Audited Standalone Financial Results for the quarter and year ended 31/03/2025,23-05-2025 17:02:21,https://www.bseindia.com/xml-data/corpfiling/AttachLive/0b892185-2de0-4435-9eb2-4734d9d4e90b.pdf,0.9022,0.0,-0.0069821737706661,0.3587853478688002,Positive,,
Sungold Media and Entertainment Ltd,"Audited Financial Result For The Half Year And Financial Year Ended March 31, 2025","1. Statement showing Audited Financial Result of the Company for the Half Year and Financial Year ended March 31, 2025. 2. In compliance with Regulation 33 of SEBI (LODR) Regulation .... Read More..",23-05-2025 16:56:25,https://www.bseindia.com/xml-data/corpfiling/AttachLive/f51ebc66-30fe-42c4-90eb-16f7b8db6462.pdf,0.0772,-0.0053571428571428,0.015046127140522,0.0337866952850137,Neutral,,
Megastar Foods Ltd,Financial Results For The Quarter And Year Ended 31.03.2025,Financial Results for the quarter and year ended 31.03.2025,23-05-2025 16:52:28,https://www.bseindia.com/xml-data/corpfiling/AttachLive/c714e819-a8a0-4df6-a9fd-93ce3a4fac18.pdf,0.7506,-0.0395604395604395,-0.0201624371111392,0.2823231369985264,Positive,,"Supertrend, ADX Signal"
