Company,Headline,Description,Time,pdf_link,bert_sentiment,confidence,final_sentiment
ZAGGLE,Action(s) initiated or orders passed,Zaggle Prepaid Ocean Services Limited has informed the Exchange about Action(s) initiated or orders passed,03-Jun-2025 21:32:51,https://nsearchives.nseindia.com/corporate/ZAGGLE_03062025213237_EL.pdf,-0.9995157244775328,0.9996280670166016,Negative
ZAGGLE,Action(s) initiated or orders passed,Zaggle Prepaid Ocean Services Limited has informed the Exchange about Action(s) initiated or orders passed,03-Jun-2025 21:31:24,https://nsearchives.nseindia.com/corporate/ZAGGLE_03062025213113_Star.pdf,-0.9996982951051905,0.9998142123222351,Negative
SOBHA,Analysts/Institutional Investor Meet/Con. Call Updates,"Sobha Limited has informed the exchange about transcript of conference call held on May 30, 2025.",03-Jun-2025 21:29:50,https://nsearchives.nseindia.com/corporate/SOBHA_03062025212446_Sobha_Concall_Transcript_Q4_FY_25.pdf,-0.9999757850287097,0.9999821186065674,Negative
KELLTONTEC,General Updates,Kellton Tech Solutions Limited has informed the Exchange about Newspaper Publication,03-Jun-2025 21:23:58,https://nsearchives.nseindia.com/corporate/KELLTONTEC_03062025212153_KTSL_Q425_NP_Q425.pdf,-0.9999843391933609,0.9999908208847046,Negative
YESBANK,Outcome of Board Meeting,"Yes Bank Limited has informed the Exchange regarding Outcome of the Board Meeting of the YES Bank Limited held on June 03, 2025.",03-Jun-2025 21:15:41,https://nsearchives.nseindia.com/corporate/YESBANK_03062025211403_YBL_SE_Intimation_Outcome_of_Board_Meeting_03062025_signed.pdf,-0.9999581766028314,0.9999651908874512,Negative
MANINDS,Shareholders meeting,Man Industries (India) Limited has informed the Exchange about Shareholders meeting,03-Jun-2025 21:14:46,https://nsearchives.nseindia.com/corporate/MANINDS_03062025211436_MIIL_Notice_of_EGM_31052025.pdf,-0.9999955289279114,0.9999971389770508,Negative
BCG,Updates,Brightcom Group Limited has informed the Exchange regarding 'Posponed Investors Conference Call to 7th June Saturday '.,03-Jun-2025 21:10:11,https://nsearchives.nseindia.com/corporate/BCG_03062025210955_Investors_call.pdf,-0.9999719248805832,0.9999756813049316,Negative
SUMIT,General Updates,Sumit Woods Limited has informed the Exchange about General Updates,03-Jun-2025 21:06:12,https://nsearchives.nseindia.com/corporate/SUMIT_03062025210523_NSE_SUMIT.pdf,-0.9990333093155641,0.9995040893554688,Negative
LLOYDSME,Shareholders meeting,"Scrutinizer s Report and Result of E-voting of the 48th Annual General Meeting of the Company held through Video Conferencing & Other Audio Visual Means on 2nd June, 2025",03-Jun-2025 21:01:51,https://nsearchives.nseindia.com/corporate/LLOYDSME_03062025210136_20250603_Intimation_of_Scrutinizer_Report.pdf,-0.9999919349183983,0.9999945163726807,Negative
ASHOKLEY,Bagging/Receiving of orders/contracts,Ashok Leyland Limited has informed the Exchange about Bagging/Receiving of orders/contracts,03-Jun-2025 20:51:49,https://nsearchives.nseindia.com/corporate/ASHOKLEY_03062025205017_16TNSTCorder03062025.pdf,-0.9999875471860378,0.9999911785125732,Negative
