Company,Headline,Description,Time,pdf_link,vader_score,textblob_score,bert_sentiment,confidence,final_sentiment
Ladderup Finance Ltd,Announcement under Regulation 30 (LODR)-Newspaper Publication,"Newspaper Publication of Audited Financial Results for the fourth quarter and financial year ended 31st March, 2025",02-06-2025 12:29:22,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4445b474-f01d-4eee-9d99-9c1612cfc105.pdf,0.128,0.019047619047619053,-0.00923961028456688,0.054142402628915655,Neutral
CRP Risk Management Ltd,Announcement under Regulation 30 (LODR)-Newspaper Publication,"In Compliance with regulation 30 of SEBI LODR Regulations,2015 the audited financial result of the company for the financial year ended March 31,2025.",02-06-2025 12:28:30,https://www.bseindia.com/xml-data/corpfiling/AttachLive/09484261-e226-4cd5-96f9-dac9e7a90466.pdf,0.0,0.10022321428571429,0.11870859563350677,0.06567954297576631,Neutral
Piramal Pharma Ltd,Intimation,"Intimation of Schedule of Analyst/ Institutional Investor Meetings under the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",02-06-2025 12:28:20,https://www.bseindia.com/xml-data/corpfiling/AttachLive/df4416bd-db3d-498d-8d37-18e2d83bd324.pdf,0.8225,-0.01681547619047619,0.005886830389499664,0.3257214062597071,Positive
Unknown,Intimation,"Intimation of Schedule of Analyst/ Institutional Investor Meetings under the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",02-06-2025 12:28:20,https://www.bseindia.com/xml-data/corpfiling/AttachLive/df4416bd-db3d-498d-8d37-18e2d83bd324.pdf,0.8225,-0.01681547619047619,0.005886830389499664,0.3257214062597071,Positive
P. B. Films Ltd,Announcement under Regulation 30 (LODR)-Newspaper Publication,"Pursuant to Regulation 47 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, we are submitting herewith Newspaper Publication of Audited Financial Results for .... Read More..",02-06-2025 12:27:36,https://www.bseindia.com/xml-data/corpfiling/AttachLive/aeba5712-f2a1-4b41-a35c-17732c719882.pdf,-0.7783,-0.04623917748917748,-0.15316516160964966,0.3711413017296482,Negative
Family Care Hospitals Ltd,Announcement under Regulation 30 (LODR)-Newspaper Publication,"Enclosed herewith Newspaper Publication for the fourth quarter and year ended 31st March, 2025 for the Financial results.",02-06-2025 12:27:30,https://www.bseindia.com/xml-data/corpfiling/AttachLive/ba328018-1dc9-49ce-84fc-9ef07610ce1e.pdf,0.4404,-0.014285714285714285,0.29159116744995117,0.2593516359492711,Positive
Greenlam Industries Ltd,Announcement under Regulation 30 (LODR)-Press Release / Media Release (Revised),Press Release Q4FY25,02-06-2025 12:26:57,https://www.bseindia.com/xml-data/corpfiling/AttachLive/ef9892d3-40a5-4130-8b7c-be00f8b5ad2c.pdf,0.9781,0.05604395604395605,0.10800778865814209,0.4404555234106295,Positive
State Bank of India,Intimation,Disclosure regarding investors meeting - Update,02-06-2025 12:26:46,https://www.bseindia.com/xml-data/corpfiling/AttachLive/1ab17a32-dd4c-4185-8ebc-72f5095f25d5.pdf,0.4215,0.06666666666666667,-0.011173918843269348,0.1852478243470192,Positive
Muzali Arts Ltd,Announcement under Regulation 30 (LODR)-Newspaper Publication,Newspaper publication of results,02-06-2025 12:26:35,https://www.bseindia.com/xml-data/corpfiling/AttachLive/a2bcd2eb-755c-462e-9561-3a675b273b0f.pdf,0.6597,-0.06666666666666667,-0.04867028817534447,0.22927891354739668,Positive
Jtekt India Ltd,Announcement under Regulation 30 (LODR)-Earnings Call Transcript,Attached,02-06-2025 12:24:34,https://www.bseindia.com/xml-data/corpfiling/AttachLive/61a7b8ee-31bd-4892-ae2d-3525293275dc.pdf,0.5994,-0.07380952380952381,0.13650666177272797,0.2585691413889613,Positive
