Company,Headline,Time,Link,Scraped_At,Announcement_Datetime,pdf_link,Annoucement_Description,vader_score,textblob_score,bert_sentiment,confidence,final_sentiment
Wanbury,Announcement under Regulation 30 (LODR)-Press Release / Media Release,27m ago,https://www.screener.in/company/WANBURY/consolidated/,2025-05-20T09:27:26.705919,2025-05-20 09:00:26.705919,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cc7ef0a7-a25e-4c09-909b-cfa19f15d946.pdf,wanbury limited has successfully received cbpf gmp certificate from the office of anvisa brazil fda. certificate issued originally in portuguese languages and its translated english version is attached. the national health surveillance agency anvisa through resolution re no. 1 771 dated published in the official gazette of the union dou on 25 certifies that the company below is periodically inspected and monitored by the national health surveillance system. the authenticity of this document can be verified on the website. a pafs india c6digo unico b.000075 0161629237 115 midc industrial area patalganga distraigad 410220 maharashtra india. a pafs india dou 01616 7 112 1430 pm 2500 pm 300 am630 am 430 pm700 pm,0.0258,0.26339285714285715,0.3195379674434662,0.185199247375897,Positive
HLE Glascoat,Announcement under Regulation 30 (LODR)-Press Release / Media Release,32m ago,https://www.screener.in/company/HLEGLAS/consolidated/,2025-05-20T09:28:17.910608,2025-05-20 08:56:17.910608,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cc7ef0a7-a25e-4c09-909b-cfa19f15d946.pdf,wanbury limited has successfully received cbpf gmp certificate from the office of anvisa brazil fda. certificate issued originally in portuguese languages and its translated english version is attached. the national health surveillance agency anvisa through resolution re no. 1 771 dated published in the official gazette of the union dou on 25 certifies that the company below is periodically inspected and monitored by the national health surveillance system. the authenticity of this document can be verified on the website. a pafs india c6digo unico b.000075 0161629237 115 midc industrial area patalganga distraigad 410220 maharashtra india. a pafs india dou 01616 7 112 1430 pm 2500 pm 300 am630 am 430 pm700 pm,0.0258,0.26339285714285715,0.3195379674434662,0.185199247375897,Positive
Jain Irrigat-DVR,Announcement under Regulation 30 (LODR)-Allotment,37m ago,https://www.screener.in/company/JISLDVREQS/,2025-05-20T09:29:03.527132,2025-05-20 08:52:03.527132,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6c06c6fb-0e65-4f0a-9acc-9575a23df788.pdf,the sub committee of the board of directors of jain irrigation systems ltd. has completed allotment of equity shares against receipt of 75% balance. the shares shall be issued in demat form to cliddpid. date 2025.05.20 083845 0530 gmt8 time 084045 0540 gmt location moscow russia.,0.5267,0.0,-0.039246272295713425,0.19890611831128596,Positive
Jain Irrigation,Announcement under Regulation 30 (LODR)-Allotment,37m ago,https://www.screener.in/company/JISLJALEQS/consolidated/,2025-05-20T09:29:24.103564,2025-05-20 08:52:24.103564,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6c06c6fb-0e65-4f0a-9acc-9575a23df788.pdf,the sub committee of the board of directors of jain irrigation systems ltd. has completed allotment of equity shares against receipt of 75% balance. the shares shall be issued in demat form to cliddpid. date 2025.05.20 083845 0530 gmt8 time 084045 0540 gmt location moscow russia.,0.5267,0.0,-0.039246272295713425,0.19890611831128596,Positive
Yuken India,"Board Meeting Intimation for Board Meeting Intimation Pursuant To Regulation 29(1) Of SEBI (LODR) Regulations, 2015",42m ago,https://www.screener.in/company/YUKEN/consolidated/,2025-05-20T09:29:44.170297,2025-05-20 08:47:44.170297,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0fa23ed0-05e1-44e4-9dc4-da95386aadba.pdf,board meeting to be held on may 23 2025 at 1130 am ist to consider and take on record interalia and to discuss and approve the following business. to consider proposed issue of equity shares in accordance with the sebi issue of capital regulations.,0.296,0.0,0.015535186976194382,0.12306055609285832,Positive
Siemens,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation,13m ago,https://www.screener.in/company/SIEMENS/consolidated/,2025-05-20T09:53:07.987154,2025-05-20 09:40:07.987154,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7d9b2610-decc-46e7-8c44-b79a5c39a530.pdf,the presentation has been prepared solely for use at the investoranalyst call. by attending the call where this presentation is made or by reading the presentation slides you agree to be bound by the following limitations. the company cannot give assurance to the correctness of such information and statements. forwardlooking information and statements involve known and unknown risks uncertainties and other important factors. forwardlooking statements sometimes use terminology such as targets believes expects aims assumes intends plans seeks or other words of similar meaning and similar expressions. q2 fy25 highlights resilient performance amid global uncertainties. order backlogyoy increased by 7.2% to 414.6 bn. new orders increased by 43.5% to 53.1 bn lvm down.,0.119,0.0025673400673400675,-0.1226394921541214,0.0115783543739656,Neutral
Kinetic Engg.,Intimation Of Listing Approval Received From BSE Limited.,18m ago,https://www.screener.in/company/KINETICENG/consolidated/,2025-05-20T09:53:45.733195,2025-05-20 09:35:45.733195,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cd7e699b-a047-4760-8117-58a4947021f4.pdf,the managercorporate relations department of kinetic engineering limited is writing to you on behalf of bse limited. the company has received a listing approval letter bearing no. lodprefhcfip214202526. bse has approved the issue of 1169591 equity shares of rs. 10 each to promoters on a preferential basis.,0.4767,-0.07142857142857142,0.16665413975715637,0.2192476704985755,Positive
CreditAcc. Gram.,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation,18m ago,https://www.screener.in/company/CREDITACC/,2025-05-20T09:54:00.723344,2025-05-20 09:36:00.723344,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7d9b2610-decc-46e7-8c44-b79a5c39a530.pdf,the presentation has been prepared solely for use at the investoranalyst call. by attending the call where this presentation is made or by reading the presentation slides you agree to be bound by the following limitations. the company cannot give assurance to the correctness of such information and statements. forwardlooking information and statements involve known and unknown risks uncertainties and other important factors. forwardlooking statements sometimes use terminology such as targets believes expects aims assumes intends plans seeks or other words of similar meaning and similar expressions. q2 fy25 highlights resilient performance amid global uncertainties. order backlogyoy increased by 7.2% to 414.6 bn. new orders increased by 43.5% to 53.1 bn lvm down.,0.119,0.0025673400673400675,-0.1226394921541214,0.0115783543739656,Neutral
AIA Engineering,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation,11m ago,https://www.screener.in/company/AIAENG/consolidated/,2025-05-20T10:06:29.109367,2025-05-20 09:55:29.109367,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b6925620-3bdd-4b3b-a3f9-6f37391b8a77.pdf,financial results for the quarteryearended march 2025 of ala engineering limited will be held on friday may 2025 at 04.30 p.m. the management team will discuss the financial performance of the company and answer the questions. chorus call helpdesk 91 22 7195 1111 toll free 1 800 120 1441 chorus call toll free 1 22 6280 1282. chorus call telephone 91 22 7115 8183 choruss call chorus. call the chorus.,0.6908,0.14571428571428574,0.012333564460277557,0.32373435505236897,Positive
Honda India,Compliances-Reg.24(A)-Annual Secretarial Compliance,11m ago,https://www.screener.in/company/HONDAPOWER/,2025-05-20T10:06:58.814612,2025-05-20 09:55:58.814612,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d03ebf42-3d99-4aac-ac79-32f23404b8df.pdf,annual secretarial compliance report for the year ended march 31 2025 under regulation of sebt listing obligations and disclosure requirements regulations 2015. the specific regulations whose provisions and the circularsguidelines issued thereunder have been examined include the securities and exchange board of india act 1992 sebi act and the regulations circulars guidelines issued there under. the securities contracts regulation act 1956 scra rules made thereunder and regulations. regulations related to companies act 2013 and dealing with client. egistrar to an issue and share transfer agents regulations 1993. listed entity has taken the following actions to comply with the observations made in previous reports.,0.6808,-0.041666666666666664,-0.040248289704322815,0.24774551308870316,Positive
