Company,Headline,Time,Link,Scraped_At,Announcement_Datetime,pdf_link,Annoucement_Description
Kashyap TeleMed.,"Disclosures under Reg. 29(2) of SEBI (SAST) Regulations, 2011",7m ago,https://www.screener.in/company/531960/,2025-05-16T10:33:04.667750,2025-05-16T10:26:04.667750,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=DBA901B3_D521_4D9F_A37D_D77166A5B39C_102543.pdf,yamunadutt amilal agrawal promoter kashyap telemedicines limited jindal park vlew society bh paradise apt polytechnic road ambawadi ahmedabad gujarat date bse limited listing department phiroz jeejeebhoy tower th floor dalal street mumbai security code dear sir madam subject disclosure regulation sebi substantial acquisition shares takeovers regutattons amended reference mentioned subject l yamunadutt amilal agrawal promoter kashyap tele medicines limited like inform sold equity shares constituting paid share capital kashyap telemedicines limited thursday may please find enclosed herewith disclosure regulation sebi substantial acquisition shares takeovers regulations amended records tha nking faithfully yamunadutt amilat agrawal promoter kashyap telemedicines limited enclas stated cc xashyap tetemedicines timited reg office pushpawati building d floor girgaon road chandanwadi mumbai maharashtra name ofthe target company tc names ofthe aequierlseller persons acting concert pac e€quseller format disclosures resulation sfri substantial acouisition shares antl iakeoveulaliesu kashyap telemedicines limited yamunadutt amilal agrawai whether acquirer belongs promoterpromoter group promoter names ofthe stock exchanges shares oftc listed bse limited details ofthe a€qtrisiti€n disposal follows a€qekitiedisposal consideration holding shares carrying voting rights b shares nature encumbrance pledge lien nondisposal undertaking others c voting rights vr otherwise shares d warrantsconvertible securitiesany instrument entitles acquirer receive shar
Kuantum Papers,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation,7m ago,https://www.screener.in/company/KUANTUM/,2025-05-16T10:33:08.184768,2025-05-16T10:26:08.184768,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2098df70-eec0-4c6b-a82f-a94d69c6b069.pdf,bse limited phiroze jeejeebhoy towers dalal street mumbai scrip code scrip id kuantum national stock exchange india limited exchange plaza plot c g block bandrakurla complex bandra east mumbai trading symbol kuantum sub intimation regarding earnings conference callinvestors’ meet dear sirmadam pursuant regulation sebi listing obligations disclosure requirements regulations hereby inform analysts institutional investors earnings conference call group meet scheduled held wednesday st may pm ist discuss qfyfy earnings performance company please note shall subject changes detailed invite dial details call attached herewith unpublished price sensitive information upsi intended discussed interactions kindly take information records thanking faithfully kuantum papers limited gurinder singh makkar company secretary compliance officer mno f gurinde r singh makkar digitally signed gurinder singh makkar date phone email website valorem advisors pleased invite conference call discuss qfyfy earnings kuantum papers limited wednesday st may pm ist management will represented mr pavan khaitan vice chairman
Electrost.Cast.,Announcement under Regulation 30 (LODR)-Earnings Call Transcript,9m ago,https://www.screener.in/company/ELECTCAST/consolidated/,2025-05-16T10:33:09.735170,2025-05-16T10:24:09.735170,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0e6308bf-4ffb-45a6-ba5f-60489e7774b0.pdf,may bse limited phiroze jeejeebhoy towers dalal street fort mumbai – scrip code isin inea national stock exchange india limited exchange plaza bandra kurla complex bandra e mumbai – symbol electcast dear sirmadam sub disclosure regulation sebi listing obligations disclosure requirements regulations transcript conference call furtherance letter dated may uploading audio link conference call held monday may pm ist discuss q fy earnings company pursuant regulation sebi listing obligations disclosure requirements regulations please find enclosed herewith copy transcript said call investors please find link transcript said call uploaded website company otherdocumentsphp information records thanking faithfully electrosteel castings limited indranil mitra company secretary indranil mitra digitally signed indranil mitra date page electrosteel castings limited q fy’ earnings conference call may moderator ladies gentlemen good day welcome electrosteel castings limited q fy’ earnings conference call reminder participant lines will remain listen mode will opportunity ask questions presentation concludes need assistance conference call please signal operator pressing “” “” touchtone telephone please note conference recorded now hand conference mr vikash verma ey llp thank sir vikash ve
ICICI Pru Life,Announcement Under Regulation 30 - Amendment To The Employee Stock Option Scheme,12m ago,https://www.screener.in/company/ICICIPRULI/consolidated/,2025-05-16T10:33:11.165728,2025-05-16T10:21:11.165728,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7fe9719a-9373-4697-b37d-9e1f122eda66.pdf,icici prudential life insurance company limited st nd floor cnergy park appasaheb marathe marg prabhadevi mumbai regd office icici prulife towers appasaheb marathe marg prabhadevi mumbai india visit us phone fax email cin lmhplc may general manager listing department bse limited phiroze jeejeebhoy towers dalal street mumbai vice president listing department national stock exchange india limited ‘exchange plaza’ bandrakurla complex bandra east mumbai dear sirmadam scrip code equity bse nse icicipruli debt nse icpr icpr subject intimation regulation regulation regulation sebi listing obligations disclosure requirements regulations sebi listing regulations please informed board directors ‘the board’ meeting held today interalia approved following items businesses intimation annual general meeting please informed th annual general meeting “agm” members company will held friday june pm ist videoconference vcother audiovisual means oavm compliance applicable regulations notice th agm along annual report fy will circulated due course permitted mode eligible members friday may b intimation record date book closure period register members share transfer books company will remain closed friday june friday june days inclusive purpose determining eligibility shareholders receive final dividend ₹ per equity share face value ₹ financial year ended ma
Mishka Exim,Compliances-Reg.24(A)-Annual Secretarial Compliance,13m ago,https://www.screener.in/company/539220/,2025-05-16T10:33:12.157969,2025-05-16T10:20:12.157969,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=05780588-8131-4b01-a659-ce9065a45cb8.pdf,mishka exim limited f first floor cross river mall cbd ground shahdara delhi cin ldlplc email contact mishk th may bse limited phiroze jeejeebhoy towers dalal street mumbai ref bse script code sub secretarial compliance report year ended march dear sirma’am copy secretarial compliance report year ended st march received parveen rastogi co practicing company secretary attached letter please take record mishka exim limited varun gupta cfo varun gupta digitally signed varun gupta date parveen rastogi co company secrétaries annual secretarial compliance report secretarial compliance report ms mishkaexim limited financial year ended march conducted review compliance applicable statutory provisions adherence good corporate practices mishka exim limitedhereinafter referred ‘the listed entity’ registered office f first floor cross river mall cbd ground shahdara east delhi india secretarial review conducted manner provided us reasonable basis evaluating corporate conductsstatutory compliances provide observations thereon based verification listed entity’s books papers minutes books forms returns filed records maintained listed entity also information provided listed entity officers agentsand authorized representatives conduct secretarial review hereby report listed entity review period covering financial year ended march complied statutory provisions listed hereunder manner subject reporting made hereinafter parveen kumar rastogi pr
ICICI Pru Life,Intimation Of Record Date And Book Closure Period,13m ago,https://www.screener.in/company/ICICIPRULI/consolidated/,2025-05-16T10:33:15.491272,2025-05-16T10:20:15.491272,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=47dc6312-b025-4834-8c06-d43162d768f1.pdf,icici prudential life insurance company limited st nd floor cnergy park appasaheb marathe marg prabhadevi mumbai regd office icici prulife towers appasaheb marathe marg prabhadevi mumbai india visit us phone fax email cin lmhplc may general manager listing department bse limited phiroze jeejeebhoy towers dalal street mumbai vice president listing department national stock exchange india limited ‘exchange plaza’ bandrakurla complex bandra east mumbai dear sirmadam scrip code equity bse nse icicipruli debt nse icpr icpr subject intimation regulation regulation regulation sebi listing obligations disclosure requirements regulations sebi listing regulations please informed board directors ‘the board’ meeting held today interalia approved following items businesses intimation annual general meeting please informed th annual general meeting “agm” members company will held friday june pm ist videoconference vcother audiovisual means oavm compliance applicable regulations notice th agm along annual report fy will circulated due course permitted mode eligible members friday may b intimation record date book closure period register members share transfer books company will remain closed friday june friday june days inclusive purpose determining eligibility shareholders receive final dividend ₹ per equity share face value ₹ financial year ended ma
Transchem,"Board Meeting Intimation for Audited Financial Results For The Quarter And Year Ended March 31, 2025",15m ago,https://www.screener.in/company/TRANSCHEM/,2025-05-16T10:33:16.485812,2025-05-16T10:18:16.485812,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ad43f6f0-9ced-44c5-95ac-cb3813c7a8c9.pdf,may listing compliance department bse limited phiroze jeejeebhoy towers dalal street fort mumbai — ref scrip code isin ineb dear sir madam subject prior intimation board meeting regulation securities exchange board india listing obligations disclosure requirements regulations amended “listing regulations” pursuant regulation listing regulations like inform meeting board directors transchem limited “company” scheduled held tuesday may inter alia consider approve audited financial results company quarter year ended march terms provisions securities exchange board india prohibition insider trading regulations amended accordance company’s code conduct prevention insider trading company intimated ‘designated persons’ regarding closure trading window trading company’s securities april till expiry hours date said financial results made available publicly kindly take record thanking faithfully transchem limited neeraja karandikar company secretary acs – neeraja deepak karandikar digitally signed neeraja deepak karandikar date
ICICI Pru Life,Intimation With Respect To Record Date And Book Closure Period,15m ago,https://www.screener.in/company/ICICIPRULI/consolidated/,2025-05-16T10:33:17.622154,2025-05-16T10:18:17.622154,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=19d43d98-9a02-48ff-8d08-69634ccf8ec5.pdf,icici prudential life insurance company limited st nd floor cnergy park appasaheb marathe marg prabhadevi mumbai regd office icici prulife towers appasaheb marathe marg prabhadevi mumbai india visit us phone fax email cin lmhplc may general manager listing department bse limited phiroze jeejeebhoy towers dalal street mumbai vice president listing department national stock exchange india limited ‘exchange plaza’ bandrakurla complex bandra east mumbai dear sirmadam scrip code equity bse nse icicipruli debt nse icpr icpr subject intimation regulation regulation regulation sebi listing obligations disclosure requirements regulations sebi listing regulations please informed board directors ‘the board’ meeting held today interalia approved following items businesses intimation annual general meeting please informed th annual general meeting “agm” members company will held friday june pm ist videoconference vcother audiovisual means oavm compliance applicable regulations notice th agm along annual report fy will circulated due course permitted mode eligible members friday may b intimation record date book closure period register members share transfer books company will remain closed friday june friday june days inclusive purpose determining eligibility shareholders receive final dividend ₹ per equity share face value ₹ financial year ended ma
Capital Small,Compliances-Reg.24(A)-Annual Secretarial Compliance,18m ago,https://www.screener.in/company/CAPITALSFB/,2025-05-16T10:33:18.605518,2025-05-16T10:15:18.605518,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=05780588-8131-4b01-a659-ce9065a45cb8.pdf,mishka exim limited f first floor cross river mall cbd ground shahdara delhi cin ldlplc email contact mishk th may bse limited phiroze jeejeebhoy towers dalal street mumbai ref bse script code sub secretarial compliance report year ended march dear sirma’am copy secretarial compliance report year ended st march received parveen rastogi co practicing company secretary attached letter please take record mishka exim limited varun gupta cfo varun gupta digitally signed varun gupta date parveen rastogi co company secrétaries annual secretarial compliance report secretarial compliance report ms mishkaexim limited financial year ended march conducted review compliance applicable statutory provisions adherence good corporate practices mishka exim limitedhereinafter referred ‘the listed entity’ registered office f first floor cross river mall cbd ground shahdara east delhi india secretarial review conducted manner provided us reasonable basis evaluating corporate conductsstatutory compliances provide observations thereon based verification listed entity’s books papers minutes books forms returns filed records maintained listed entity also information provided listed entity officers agentsand authorized representatives conduct secretarial review hereby report listed entity review period covering financial year ended march complied statutory provisions listed hereunder manner subject reporting made hereinafter parveen kumar rastogi pr
Steel Str. Wheel,Announcement under Regulation 30 (LODR)-Investor Presentation,1m ago,https://www.screener.in/company/SSWL/,2025-05-16T10:56:30.557272,2025-05-16T10:55:30.557272,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=97f7720c-481b-4ffc-b174-e87703eeb89f.pdf,q6 steel strips wheels ltd. gin l271 985p1c0061 59 head office 1soffs16949 certified sco 4950 sector 26 madhya marg chandigarh 160 019 lndla tel 91 1722793112 2790979 2792385 fax 91 1722794834 i 2790887 website strips group date 1605.2025 bse limited department of corporate services phiroze jeejeebhoy towers dalal street mumbai 400 001 bse code 5l3262 the national stock exchange of india limited exchange plaza plot no. cl g btock bandrakurla complex bandra e mumbai 400 051 nse code sswl subiect intimation under regulation of the sebi listing obligations and disclosure requirements regulations 2o15 presentation of the company dear sirmaam in continuation of our letter dated w.r.t. intimation of analystslnstitutional investors conference call on q4 fy25 result conference callto be held on 16052025 please find enclosed the presentation of the company to be made to the analysts investors. the same shall be accessible on the website sswl i nd ia comi nvestorsa na lvstsi nvestorsmeeti ngs kindly take the same on your records for reference. of the company i.e thanking you yours faithfully for steel strips wheels limited kanika sapra company secretary compliance officer encl aa regd. ffice village somalherilehli p.o. oapp_19il derabassi distt mohali punjab lndia iili g r i i7 aial zt szs 27 i 27 5 17 3 f ax e 1 17 92 27 5228 emaif website kanika sapra digitally signed by kanika sapra date 2025.05.16 105136 0530 steel strips wheels limited delivering value seeking excellence investor presentation may 2025 this presentation and the accompanying slides the presentation which have been prepared by steel strips wheels limited the company have been prepared solely for information purposes and do not constitute any offer recommendation or invitation
