Company,companyname,Headline,Description,Time,pdf_link,vader_score,textblob_score,bert_sentiment,confidence,final_sentiment
V2RETAIL,V2 Retail Limited,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","V2 Retail Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",08-Jul-2025 11:16:26,https://nsearchives.nseindia.com/corporate/V2RETAIL_08072025111619_Regulation_74_5_.pdf,0.926,0.06367243867243867,-0.005168639123439789,0.057052683137604476,Neutral
EASEMYTRIP,Easy Trip Planners Limited,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Easy Trip Planners Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",08-Jul-2025 11:13:53,https://nsearchives.nseindia.com/corporate/EASEMYTRIP_08072025111341_Reg74_5.pdf,0.9601,0.1360544217687075,0.1604016125202179,0.007359354481324021,Neutral
AAATECH,Aaa Technologies Limited,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Aaa Technologies Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",08-Jul-2025 11:16:32,https://nsearchives.nseindia.com/corporate/AAATECH_08072025111555_DISCLOSURE.pdf,0.9719,0.00014880952380953022,-0.13234984874725342,0.09006834152312504,Neutral
SANATHAN,Sanathan Textiles Limited,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Sanathan Textiles Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",08-Jul-2025 11:16:50,https://nsearchives.nseindia.com/corporate/SANATHAN_08072025111640_STLCertificateReg74.pdf,0.6597,-0.04285714285714285,0.1381666362285614,0.10907742886372973,Neutral
NMDC,NMDC Limited,Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,NMDC LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,08-Jul-2025 11:05:53,https://nsearchives.nseindia.com/corporate/xbrl/CIM_59227_1478471_08072025110553_WEB.xml,0.1943,-0.023809523809523808,-0.03126674145460129,0.26395366527509123,Negative
MUKANDLTD,Mukand Limited,Board Meeting Intimation,MUKAND LIMITED has informed the Exchange about Board Meeting to be held on 08-Aug-2025 to inter-alia consider and approve the Unaudited Financial results of the Company for the Quarterly ended June 2025 .,08-Jul-2025 11:07:10,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_59228_1478473_08072025110709_WEB.xml,-0.3885,-0.03571428571428571,0.05006157606840134,0.39174997761206964,Negative
KANANIIND,Kanani Industries Limited,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Kanani Industries Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",08-Jul-2025 11:09:12,https://nsearchives.nseindia.com/corporate/KANANIIND_08072025110900_KILREG745JUNE2025.pdf,0.9393,0.027338435374149667,-0.041893139481544495,0.07017221142203625,Neutral
ALICON,Alicon Castalloy Limited,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Alicon Castalloy Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",08-Jul-2025 11:05:41,https://nsearchives.nseindia.com/corporate/ALICON_08072025110517_Letter.pdf,0.765,-0.006797235023041466,-0.05606808513402939,0.12411872564475929,Neutral
EPL,EPL Limited,Alteration Of Capital and Fund Raising-XBRL,EPL LIMITED has informed the Exchange regarding Allotment of Securities,08-Jul-2025 11:03:32,https://nsearchives.nseindia.com/corporate/xbrl/ALTERATION_OF_CAPITAL_AND_FUND_RAISING_1478466_08072025110331_WEB.xml,-0.1111,-0.07142857142857142,-0.01202559657394886,0.3449876485167869,Negative
AFFORDABLE,Affordable Robotic & Automation Limited,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Affordable Robotic & Automation Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",08-Jul-2025 11:04:02,https://nsearchives.nseindia.com/corporate/AFFORDABLE_08072025110056_Affordablecerti74_5_.pdf,0.7003,-0.012996031746031743,-0.0399896539747715,0.13751598720396793,Neutral
