Company,Headline,Description,Time,pdf_link,vader_score,textblob_score,bert_sentiment,confidence,final_sentiment
Bodhi Tree Multimedia Ltd,"Standalone & Consolidated Audited Financial Results Of The Company For The Quarter And Year Ended On 31St March, 2025",Audited Financial Result,30-05-2025 21:43:59,https://www.bseindia.com/xml-data/corpfiling/AttachLive/090dee5b-425d-4fd2-a409-4a97ee4044d2.pdf,0.6808,0.014285714285714284,0.0667479932308197,0.2966301122549602,Positive
Terai Tea Company Ltd,"Audited Standalone And Consolidated Financial Results For The Quarter And Financial Year Ended March 31, 2025",Please find the enclosed attachment,30-05-2025 21:41:37,https://www.bseindia.com/xml-data/corpfiling/AttachLive/cf70c5ca-8fe3-4640-aac4-d029aae7af0e.pdf,0.8834,-0.020833333333333332,-0.00643012672662735,0.3451809619820118,Positive
Western Ministil Ltd,"Audited Standalone Financial Results Of The Company For The Fourth Quarter And Year Ended March 31, 2025 Along With Audit Report By Statutory Auditors Of The Company With Statement On Impact Of Audit Qualifications.",APPROVAL OF AUDITED STANDALONE FINANCIAL RESULT FOR THE QUARTER AND YEAR ENDED MARCH 31 2025,30-05-2025 21:41:30,https://www.bseindia.com/xml-data/corpfiling/AttachLive/9248a935-f460-4f82-b1e1-f53c5ee0136f.pdf,0.946,0.09999999999999999,0.08843062818050385,0.4349291884541511,Positive
Swelect Energy Systems Ltd-$,Results-Financial Results For 31.03.2025,Financial Results for the year ended 31.03.2025,30-05-2025 21:41:14,https://www.bseindia.com/xml-data/corpfiling/AttachLive/28e2a545-5db4-466c-97b9-8e83e4867237.pdf,0.8779,0.02888888888888889,0.13657927513122559,0.40080044920603436,Positive
Haria Apparels Ltd,Audited Financial Results For The Year Ended March 31St 2025.,"We are enclosing herewith Audited Financial results, Auditors Report, Statement of Asset and Liabilities, Declaration on the unmodified opinion in Auditors report thereon for the year ended .... Read More..",30-05-2025 21:40:52,https://www.bseindia.com/xml-data/corpfiling/AttachLive/52c6373b-5072-4ed3-9c52-e0d7577968b6.pdf,0.3818,0.026406926406926413,0.0437554270029068,0.17376870602294994,Positive
Uravi Defence and Technology Ltd,Outcome Of Board Meeting Held On May 30 2025 To Approve Financial Results,"Please find enclosed herewith outcome of board meeting held on May 30, 2025. A copy of the standalone and consolidated financial results along with audit report are also enclosed herewith The .... Read More..",30-05-2025 21:40:22,https://www.bseindia.com/xml-data/corpfiling/AttachLive/ad2ec961-46b5-438a-8827-e2343a8002bb.pdf,0.7351,0.07792207792207793,-0.01177869364619255,0.31388301528276563,Positive
Shree Securities Ltd,"Results-Financial Results For March 31, 2025","results-financial results for March 31, 2025",30-05-2025 21:40:19,https://www.bseindia.com/xml-data/corpfiling/AttachLive/41a838ae-5f65-4e17-9f7d-51cae0b74361.pdf,0.9042,-0.011755952380952379,-0.052247054874897,0.5424790978232452,Positive
Resourceful Automobile Ltd,"Submission Of Audited Standalone Financial Results For The Half Year And Year Ended On March 31St, 2025.","Submission of Audited Standalone Financial results for half year and year ended Marc 31, 2025",30-05-2025 21:40:11,https://www.bseindia.com/xml-data/corpfiling/AttachLive/70a6ec09-2487-4aa3-9e3b-8f94e3410881.pdf,0.8271,0.02961309523809524,0.22700384259223938,0.4078250813491004,Positive
Venlon Enterprises Ltd,Results-Financial Results For The Quarter And Year Ended 31St March 2025,"The Board at its meeting held on 30.05.2025 considered and approved the audited financal results for the quarter and year ended 31st March 2025 alongwith the statement of assets and liabilities, .... Read More..",30-05-2025 21:36:49,https://www.bseindia.com/xml-data/corpfiling/AttachLive/1994485e-1143-4ba1-9dd0-74fe13016e79.pdf,0.93,-0.052116402116402116,-0.003850828856229782,0.3552098307082105,Positive
Waterbase Ltd,Financial Results 31.03.2025,Financial Results For The Year Ended 31st March 2025.,30-05-2025 21:36:46,https://www.bseindia.com/xml-data/corpfiling/AttachLive/3bd4be7e-81c1-4f60-a561-5ce8ba0d4e53.pdf,0.8555,0.06666666666666667,0.1050495058298111,0.3937148517489434,Positive
Naturo Indiabull Ltd,Results- Financials Results Ended On 31 March 2025,Audited Financials with limited review report,30-05-2025 21:36:22,https://www.bseindia.com/xml-data/corpfiling/AttachLive/6d9aced8-d7a3-4f57-adf4-0d4815bf4805.pdf,0.5994,-0.04761904761904761,0.2357514500617981,0.2961997207328252,Positive
Sparc Electrex Ltd,Audited Financial Results For Quarter And Financial Year Ended 31.03.2025,"In terms of Regulation 30 read with regulation 33 of the SEBI (LODR), Regulations, 2015 the Board of Directors in its meeting held on 30.05.2025 approved the Audited Standalone Financial .... Read More..",30-05-2025 21:35:03,https://www.bseindia.com/xml-data/corpfiling/AttachLive/d1048002-af31-430f-ab9d-c5ed9e8009b1.pdf,0.4404,-0.07142857142857142,-0.1310340166091919,0.11542122358867102,Positive
Nam Securities Ltd,Audited Financial Results For Quarter &Year Ended 31 March 2025,"Persuant to the provisions of Regulation 30 & 33 of SEBI (LODR) Regulation 2015, please be informed that the Board of Directors of the company, at its meeting held on today i.e. 30th May, .... Read More..",30-05-2025 21:34:46,https://www.bseindia.com/xml-data/corpfiling/AttachLive/f44b16db-d7e5-4358-ba1c-2607239691b7.pdf,0.7717,0.021164021164021166,0.014341834932565689,0.3193317568289761,Positive
