Company,Headline,Description,Time,pdf_link,vader_score,textblob_score,bert_sentiment,confidence,final_sentiment
Super Tannery Ltd,FINANCIAL RESULT FOR 31-MAR-2025,SUPER TANNERY LIMITEDRead less..,Unknown Time,https://www.bseindia.com/xml-data/corpfiling/AttachLive/1eead783-d318-4990-8f7f-2b6e3709d12e.pdf,0.9753,0.11172161172161171,0.010309956967830658,0.6267294706068327,Positive
Accel Ltd,Audited Standalone And Consolidated Financial Results,Outcome of Board Meeting Held on 29th May 2025-Audited Standalone and Consolidated Financial Results.Read less..,Unknown Time,https://www.bseindia.com/xml-data/corpfiling/AttachLive/fcec205e-bb00-4158-8334-58b8f5cda9d6.pdf,0.9201,0.01158263305322129,0.08732390403747559,0.597711961127209,Positive
ZR2 Bioenergy Ltd,"Audited Financial Result For The Quarter And Year Ended March 31, 2025","Audited financial result for the quarter and year ended March 31, 2025",30-05-2025 11:09:35,https://www.bseindia.com/xml-data/corpfiling/AttachLive/7f9d73ec-0d5f-47ba-a1ad-3501eff6c919.pdf,0.9081,0.0393939393939394,0.025869283825159073,0.3828189669657296,Positive
Howard Hotels Ltd,Results-Financial Results For The Quarter And Financial Year Ended 31.03.2025.,Financial Results for the Quarter and Financial Year ended 31.03.2025.,30-05-2025 10:51:22,https://www.bseindia.com/xml-data/corpfiling/AttachLive/fefc7923-578a-4e09-804d-1067a1a3677f.pdf,0.7845,-0.031037414965986394,-0.00606098398566246,0.30267048031450533,Positive
HOV Services Ltd,"HOV Services Limited Has Informed The Exchange Regarding Outcome Of Board Meeting Held On May 30, 2025 Along With Audited Results And Other Disclosures Matter.","Financial results and outcome of Board meeting held on May 30, 2025",30-05-2025 10:41:28,https://www.bseindia.com/xml-data/corpfiling/AttachLive/50a3d064-5613-48da-a05d-662460c463d3.pdf,0.8519,-0.031776556776556775,-0.019818250089883804,0.32528155794006786,Positive
Teesta Agro Industries Ltd,Result For Year Ended 31.03.2025,Audited Financial Results for the year ended 31.03.2025,30-05-2025 13:46:59,https://www.bseindia.com/xml-data/corpfiling/AttachLive/982e7bdc-f1a1-4e75-84e1-1dcda622baa6.pdf,0.946,0.11000000000000001,0.08671584725379944,0.43741475417613984,Positive
Sharda Ispat Ltd,"Financial Results For The Quarter And Year Ended 31St March, 2025","Financial results for the Quarter and year ended 31st March, 2025.",30-05-2025 13:46:34,https://www.bseindia.com/xml-data/corpfiling/AttachLive/ddc5bceb-19b0-472c-977f-2dae98ea74cd.pdf,0.4215,0.029870129870129877,-0.01606108248233795,0.17274271421633758,Positive
Reliance Chemotex Industries Ltd-$,"Financial Results For The Quarter And Year Ended On 31St March, 2025","Pursuant to the provisions of regulation 30 & 33 of SEBI (LODR), financial results for the quarter and year ended on 31st March, 2025 has been considered and approved by the board in its .... Read More..",30-05-2025 13:43:17,https://www.bseindia.com/xml-data/corpfiling/AttachLive/c862d715-10bb-4c0e-ad22-8acb0e23209c.pdf,0.836,-0.035416666666666666,0.0031080618500709534,0.32470741855502133,Positive
Dynemic Products Ltd,"Results-Financial Results For March 31, 2025","Results-Financial Results for March 31, 2025",30-05-2025 13:41:28,https://www.bseindia.com/xml-data/corpfiling/AttachLive/6a0b2cad-5e20-4f2b-8ca0-874b00f25ab1.pdf,0.9313,0.05454545454545454,0.1116425096988678,0.42237638927329674,Positive
Ganon Products Ltd,FINANCIAL RESULT FOR 4TH QTR AND YEAR ENDED 31.03.2025,FINANCIAL RESULT FOR 4TH QTR AND YEAR ENDED 31.03.2025,30-05-2025 13:41:19,https://www.bseindia.com/xml-data/corpfiling/AttachLive/6acf6491-1555-4501-b9ec-fccb82689bf6.pdf,0.8225,0.020408163265306128,0.07674017548561096,0.35814450162527517,Positive
The Yamuna Syndicate Ltd,"Audited Standalone And Consolidated Financial Results For The Quarter And Financial Year Ended March 31, 2025","The Board of Directors in its meeting of date ie May 30, 2025 considered and approved standalone and consolidated audited financial results for the quarter and financial year ended March 31, 2025",30-05-2025 13:39:41,https://www.bseindia.com/xml-data/corpfiling/AttachLive/e6220531-cece-4487-9048-78e1f287187f.pdf,0.7096,-0.016666666666666666,-0.014854323118925095,0.2743837030643225,Positive
DHP India Ltd,The Board Meeting Dated 30/05/2025 Approve The Audited Financial Results Of Year Ended 31/03/2025,The Board Meeting dated 30/05/2025 approve the Audited Financial Results of Year Ended 31/03/2025,30-05-2025 13:38:23,https://www.bseindia.com/xml-data/corpfiling/AttachLive/9fdac3b8-efe0-4e94-b1e2-882d2207b6e1.pdf,0.3818,0.02410714285714286,0.07473665475845337,0.18237313928467885,Positive
