Company,companyname,Headline,Description,Time,pdf_link,vader_score,textblob_score,bert_sentiment,confidence,final_sentiment
3MINDIA,3M India Limited,General Updates,3M India Limited has informed the Exchange about General Updates,03-Jul-2025 21:20:34,https://nsearchives.nseindia.com/corporate/3MINDIALTD_03072025211946_SEFORM2.pdf,-0.6124,0.010841836734693883,-0.052232321351766586,0.4639778933899439,Negative
YESBANK,Yes Bank Limited,Allotment of Securities,"Yes Bank Limited has informed the Exchange regarding allotment of 1629450 securities pursuant to ESOP/ESPS at its meeting held on July 03, 2025",03-Jul-2025 21:19:52,https://nsearchives.nseindia.com/corporate/YESBANK_03072025211121_YBLStockExchangeIntimationESOPAllotmentsigned.pdf,0.9694,0.03492063492063492,0.09083226323127747,0.027955929661743206,Neutral
PFOCUS,Prime Focus Limited,Acquisition,Prime Focus Limited has informed the Exchange about Acquisition,03-Jul-2025 21:19:46,https://nsearchives.nseindia.com/corporate/PFOCUS_03072025211934_OutcomeofBM03072025signed.pdf,0.996,0.021440596440596444,-0.05046273395419121,0.14067449215981626,Neutral
PFOCUS,Prime Focus Limited,Agreements,Prime Focus Limited has informed the Exchange about Investment Agreement,03-Jul-2025 21:14:47,https://nsearchives.nseindia.com/corporate/PFOCUS_03072025211342_OutcomeofBM03072025signed.pdf,0.9965,0.021440596440596444,-0.04828482121229172,0.058655511094299284,Neutral
FEDERALBNK,The Federal Bank  Limited,Updates,The Federal Bank  Limited has informed the Exchange regarding 'Allotment of equity shares on exercise of Stock Options pursuant to Employees Stock Options Scheme'.,03-Jul-2025 21:14:43,https://nsearchives.nseindia.com/corporate/FEDERALBNK_03072025211358_ESOS_030725_189_SE.pdf,0.875,0.0012987012987013017,0.047417230904102325,0.06913430692603836,Neutral
PFOCUS,Prime Focus Limited,Amendment to AOA/MOA,Prime Focus Limited has informed the Exchange regarding the Amendment to AOA/MOA of the company.,03-Jul-2025 21:10:28,https://nsearchives.nseindia.com/corporate/PFOCUS_03072025210814_OutcomeofBM03072025signed.pdf,0.996,0.021440596440596444,-0.0376984104514122,0.056133890522686025,Neutral
PFOCUS,Prime Focus Limited,Issue of Securities,Prime Focus Limited has informed the Exchange about issue of Securities on a private placement basis through preferential allotment,03-Jul-2025 21:07:07,https://nsearchives.nseindia.com/corporate/PFOCUS_03072025210401_OutcomeofBM03072025signed.pdf,0.9964,0.020809990662931845,-0.04297715798020363,0.057480127713859186,Neutral
PFOCUS,Prime Focus Limited,Outcome of Board Meeting,"Prime Focus Limited has informed the Exchange regarding  Board meeting held on July 03, 2025.",03-Jul-2025 21:01:47,https://nsearchives.nseindia.com/corporate/PFOCUS_03072025210036_OutcomeofBM03072025signed.pdf,0.996,0.021440596440596444,-0.037845320999622345,0.05617090426203347,Neutral
SANWARIA,Sanwaria Consumer Limited,Trading Window-XBRL,SANWARIA CONSUMER LIMITED has informed the Exchange about Closure of Trading Window,03-Jul-2025 20:58:52,https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1477074_03072025085851_WEB.xml,-0.3885,-0.07142857142857142,-0.038202010095119476,0.42094861042712417,Negative
TORNTPHARM,Torrent Pharmaceuticals Limited,Updates,"Torrent Pharmaceuticals Limited has informed the Exchange regarding 'Disclosure under Regulation 30 and other applicable provisions of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, as amended ( Listing Regulations ).'.",03-Jul-2025 21:01:24,https://nsearchives.nseindia.com/corporate/TORNTPHARM_03072025210110_SEIntimation03072025.pdf,0.9858,-0.02334535834535835,-0.030817054212093353,0.13408108148208286,Neutral
GODAVARIB,Godavari Biorefineries Limited,Granting/withdrawal/surrender/cancellation/suspension of key licenses/ regulatory approvals,Godavari Biorefineries Limited has informed the Exchange about Granting of Patent in Europe for novel anticancer molecule.,03-Jul-2025 20:59:42,https://nsearchives.nseindia.com/corporate/GODAVARIBIO_03072025205924_Intimation_to_SE.pdf,-0.8544,0.056746031746031746,0.5665481686592102,0.3605857134610887,Negative
ARISINFRA,Arisinfra Solutions Limited,Updates,"Arisinfra Solutions Limited has informed the Exchange regarding 'Disclosure under Regulation 30 read with Schedule III of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 ( SEBI Listing Regulations )'.",03-Jul-2025 21:01:03,https://nsearchives.nseindia.com/corporate/team_lshetty_03072025205831_Reg30.pdf,0.9753,-0.013371080139372818,0.20544631779193878,0.00748157478751621,Neutral
SAMHI,Samhi Hotels Limited,Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,SAMHI HOTELS LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,03-Jul-2025 20:53:32,https://nsearchives.nseindia.com/corporate/xbrl/CIM_59025_1477073_03072025085331_WEB.xml,0.1943,-0.023809523809523808,-0.03188340738415718,0.2641032720021549,Negative
SANWARIA,Sanwaria Consumer Limited,Trading Window,"Sanwaria Consumer Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",03-Jul-2025 20:57:08,https://nsearchives.nseindia.com/corporate/SANWARIACONSUMER_03072025205635_Intimationforclosureofwindow.pdf,-0.2263,-0.07142857142857142,-0.05125794559717178,0.38363131974552356,Negative
TRENT,Trent Limited,Shareholders meeting,Trent Limited has informed the Exchange regarding Summary of Proceedings of the 73rd Annual General Meeting of the Company held on 3rd July 2025,03-Jul-2025 20:51:23,https://nsearchives.nseindia.com/corporate/TRENT_03072025204812_AGMProceedings03072025.pdf,-0.25,-0.007939787485242027,0.18830901384353638,0.317009452338624,Negative
DOLLAR,Dollar Industries Limited,General Updates,Dollar Industries Limited has informed the Exchange about General Updates for completion of dispatch of Annual General Meeting (AGM) Notice and Annual Report for FY 2024-25 to the Members of the Company,03-Jul-2025 20:50:34,https://nsearchives.nseindia.com/corporate/DOLLAR_03072025205016_DIL_Letter_for_dispatch_of_Notice_to_Shareholder.pdf,0.7003,0.13839285714285715,0.4018760025501251,0.0032317452209336683,Neutral
