Company,companyname,Headline,Description,Time,pdf_link,vader_score,textblob_score,bert_sentiment,confidence,final_sentiment
PNB,Punjab National Bank,Trading Window-XBRL,Punjab National Bank has informed the Exchange about Closure of Trading Window,30-Jun-2025 12:03:33,https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1474315_30062025120332_WEB.xml,0.0,0.0,-0.03662396967411041,0.3091432251036167,Negative
BLISSGVS,Bliss GVS Pharma Limited,Updates,Bliss GVS Pharma Limited has informed the Exchange regarding 'Notice to Shareholders w.r.t. transfer of unclaimed Final Dividend 2017-2018 and itsCorresponding Shares to Investor Education and Protection Fund (IEPF) Authority'.,30-Jun-2025 12:06:10,https://nsearchives.nseindia.com/corporate/BLISSGVS_30062025120538_Intimation_IEPF_Notice.pdf,0.9869,0.017081949058693247,-0.07523638010025024,0.1313404665834748,Neutral
AKSHARCHEM,AksharChem India Limited,Amendment to AOA/MOA,AksharChem India Limited has informed the Exchange regarding the Amendment to AOA/MOA of the company.,30-Jun-2025 12:05:18,https://nsearchives.nseindia.com/corporate/AKSHARCHEM_30062025120354_Intimation_for_adoption_of_new_MOA.pdf,0.9559,-0.009819624819624813,0.03336448222398758,0.05463212242588769,Neutral
TREEHOUSE,Tree House Education & Accessories Limited,Trading Window-XBRL,Tree House Education & Accessories Limited has informed the Exchange about Closure of Trading Window,30-Jun-2025 12:04:38,https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1474316_30062025120437_WEB.xml,-0.2263,-0.07142857142857142,-0.01245671883225441,0.37395770997468913,Negative
RTNINDIA,RattanIndia Enterprises Limited,Board Meeting Intimation,RATTANINDIA ENTERPRISES LIMITED has informed the Exchange about Board Meeting to be held on 02-Jul-2025 to consider Fund raising.,30-Jun-2025 12:02:00,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_58601_1474314_30062025120159_WEB.xml,-0.3885,-0.07142857142857142,0.01887388713657856,0.4066917418225535,Negative
TREEHOUSE,Tree House Education & Accessories Limited,Trading Window,"Tree House Education & Accessories Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",30-Jun-2025 12:02:54,https://nsearchives.nseindia.com/corporate/TREEHOUSE_30062025120222_Intimationforclosureoftradingwindowforjunequarter.pdf,-0.7579,-0.09047619047619047,-0.12831857800483704,0.5396464493689084,Negative
RELIABLE,Reliable Data Services Limited,Trading Window,"Reliable Data Services Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",30-Jun-2025 12:00:42,https://nsearchives.nseindia.com/corporate/RELIABLE_30062025115939_Trading_window.PDF,-0.4215,-0.010957792207792213,-0.035528138279914856,0.4164456783444076,Negative
SONAMLTD,SONAM LIMITED,Trading Window,"SONAM LIMITED has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",30-Jun-2025 12:00:53,https://nsearchives.nseindia.com/corporate/SONAMCLOCK_30062025120039_Tradingwindowclosure_30062025.pdf,-0.3885,-0.07142857142857142,-0.02694714441895485,0.4181256314462849,Negative
DCMNVL,DCM Nouvelle Limited,Trading Window,"DCM Nouvelle Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",30-Jun-2025 11:59:32,https://nsearchives.nseindia.com/corporate/DCMNVL_30062025115900_TRADING_WINDOW.pdf,0.4019,-0.009285714285714283,0.04053139686584473,0.19123713429314748,Neutral
INGERRAND,Ingersoll Rand (India) Limited,Trading Window-XBRL,Ingersoll Rand (India) Limited has informed the Exchange about Closure of Trading Window,30-Jun-2025 11:58:57,https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1474309_30062025115857_WEB.xml,-0.2263,-0.07142857142857142,-0.027047866955399513,0.3776150993137487,Negative
