Company,companyname,Headline,Description,Time,pdf_link,vader_score,textblob_score,bert_sentiment,confidence,final_sentiment
HINDUNILVR,Hindustan Unilever Limited,Shareholders meeting,"Hindustan Unilever Limited has informed the Exchange regarding Notice of Court Convened General Meeting to be held on August 12, 2025",07-Jul-2025 21:45:02,https://nsearchives.nseindia.com/corporate/HINDUNILVR_07072025214400_SEIntimationCCMNotice07072025.pdf,-0.2263,-0.010714285714285704,0.02168896421790123,0.3532939531187926,Negative
AUBANK,AU Small Finance Bank Limited,Board Meeting Intimation,AU Small Finance Bank Limited has informed the Exchange about Board Meeting to be held on 19-Jul-2025 to inter-alia consider and approve the Unaudited Financial results of the Company for the Quarterly ended June 2025 .,07-Jul-2025 21:07:41,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_59216_1478408_07072025090740_WEB.xml,-0.2263,-0.10714285714285714,0.03404787927865982,0.36948993863931723,Negative
GOCLCORP,GOCL Corporation Limited,Shareholders meeting,"GOCL Corporation Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on August 01, 2025",07-Jul-2025 21:15:13,https://nsearchives.nseindia.com/corporate/GULFCORP_07072025210630_64thAGMNotice07072025Signed.pdf,0.9118,-0.01584821428571427,-0.033619992434978485,0.11637621734099735,Neutral
AUBANK,AU Small Finance Bank Limited,Trading Window-XBRL,AU Small Finance Bank Limited has informed the Exchange about Closure of Trading Window,07-Jul-2025 21:11:23,https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1478409_07072025091123_WEB.xml,-0.2263,-0.1607142857142857,-0.03286829590797424,0.39691645964043476,Negative
NLCINDIA,NLC India Limited,Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,NLC INDIA LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,07-Jul-2025 20:56:34,https://nsearchives.nseindia.com/corporate/xbrl/CIM_59215_1478405_07072025085633_WEB.xml,0.1943,-0.023809523809523808,-0.045073650777339935,0.26740516014766125,Negative
GARFIBRES,Garware Technical Fibres Limited,Update-Acquisition/Scheme/Sale/Disposal-XBRL,Garware Technical Fibres Limited has informed the Exchange regarding Update-Acquisition/Scheme/Sale/Disposal-XBRL,07-Jul-2025 20:50:41,https://nsearchives.nseindia.com/corporate/xbrl/REG30_Restructuring_1478401_07072025085040_WEB.xml,-0.2263,-0.03571428571428571,-0.004670608788728714,0.16485326918768028,Neutral
NLCINDIA,NLC India Limited,Outcome of Board Meeting,"NLC India Limited has informed the Exchange regarding  Board meeting held on July 07, 2025.",07-Jul-2025 20:50:46,https://nsearchives.nseindia.com/corporate/NLCINDIA_07072025205019_OutcomeofBM07072025.pdf,0.9872,0.00564550264550265,0.07093824446201324,0.1656702419973871,Neutral
GARFIBRES,Garware Technical Fibres Limited,Update-Acquisition/Scheme/Sale/Disposal-XBRL,Garware Technical Fibres Limited has informed the Exchange regarding Update-Acquisition/Scheme/Sale/Disposal-XBRL,07-Jul-2025 20:49:42,https://nsearchives.nseindia.com/corporate/xbrl/REG30_Restructuring_1478400_07072025084941_WEB.xml,-0.2263,-0.03571428571428571,-0.004670608788728714,0.16485326918768028,Neutral
AUBANK,AU Small Finance Bank Limited,Copy of Newspaper Publication,AU Small Finance Bank Limited has informed the Exchange about Copy of Newspaper Publication,07-Jul-2025 20:54:04,https://nsearchives.nseindia.com/corporate/AUBANK_07072025205112_SE_Intimation_Newspaper_Adv_070725.pdf,-0.5267,-0.051373626373626365,0.12082412093877792,0.4117366318896249,Negative
NLCINDIA,NLC India Limited,Outcome of Board Meeting,"NLC India Limited has informed the Exchange regarding Outcome of Board Meeting held on July 07, 2025.",07-Jul-2025 20:47:05,https://nsearchives.nseindia.com/corporate/NLCINDIA_07072025204625_OutcomeofBM07072025.pdf,0.9872,0.00564550264550265,0.06487460434436798,0.16415388493313998,Neutral
