Company,companyname,Headline,Description,Time,pdf_link,vader_score,textblob_score,bert_sentiment,confidence,final_sentiment
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,Investor Presentation,JB Chemicals & Pharmaceuticals Limited has informed the Exchange about Investor Presentation,30-Jun-2025 13:33:43,https://nsearchives.nseindia.com/corporate/JBCHEPHARM_30062025133259_NSE_Presentation30062025.pdf,0.9966,0.05155677655677657,0.0706724002957344,0.47710892096234186,Positive
RPOWER,Reliance Power Limited,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,Reliance Power Limited has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,01-Jul-2025 22:00:32,https://nsearchives.nseindia.com/corporate/RPOWER_01072025215926_Disclosure_for_initiation_of_Arbitration_Proceedings.pdf,0.8523,-0.06542207792207791,-0.008583880960941315,0.10204700669905584,Neutral
KALPATARU,Kalpataru Limited,Updates,"Kalpataru Limited has informed the Exchange regarding 'Disclosure Under Regulation 30(5) of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015'.",01-Jul-2025 21:42:42,https://nsearchives.nseindia.com/corporate/9820411288_01072025214214_Disclosure_Under_Regulation_30_5__of_the_SEBI_LODR_Regulations.pdf,0.6369,0.00992063492063492,-0.00494777038693428,0.14000478437786534,Neutral
KELLTONTEC,Kellton Tech Solutions Limited,Updates,Kellton Tech Solutions Limited has informed the Exchange regarding 'updare on Schedule Security Issuance Committee Meeting'.,01-Jul-2025 21:34:37,https://nsearchives.nseindia.com/corporate/KELLTONTEC_01072025213428_KTSL_SIC_04072025.pdf,0.6597,-0.05758477633477632,0.008984861895442009,0.14434441656998073,Neutral
SIS,SIS LIMITED,Closure of Buy Back,"SIS LIMITED has informed the Exchange regarding the extinguishment of 37,12,871 fully paid-up equity shares of Rs. 5/- each bought back at Rs. 404/- per share through the tender offer route.",01-Jul-2025 22:08:17,https://nsearchives.nseindia.com/corporate/SIS_01072025220723_Intimation.pdf,0.9837,-0.020728291316526603,-0.043012332171201706,0.13102854751225368,Neutral
ZAGGLE,Zaggle Prepaid Ocean Services Limited,Bagging/Receiving of orders/contracts,Zaggle Prepaid Ocean Services Limited has informed the Exchange about Bagging/Receiving of orders/contracts,01-Jul-2025 21:30:29,https://nsearchives.nseindia.com/corporate/ZAGGLE_01072025213014_DTDC.pdf,0.9869,-0.0029761904761904734,-0.006291083991527557,0.05543403263361682,Neutral
RITES,RITES Limited,Bagging/Receiving of orders/contracts,RITES Limited has informed the Exchange about receiving of major order from South Western Railway,01-Jul-2025 21:17:50,https://nsearchives.nseindia.com/corporate/RITES_01072025211203_MajorOrder_Tumkuru.pdf,0.9928,0.03762400793650794,0.16712594032287598,0.1975229521266998,Neutral
RITES,RITES Limited,Bagging/Receiving of orders/contracts,RITES Limited has informed the Exchange about receiving of major order from African Rail Company,01-Jul-2025 21:29:07,https://nsearchives.nseindia.com/corporate/RITES_01072025212853_MajorOrder_African.pdf,0.9891,0.0394501332001332,0.22367709875106812,0.011186958407490344,Neutral
BLACKBUCK,Zinka Logistics Solutions Limited,Updates,"Zinka Logistics Solutions Limited has informed the Exchange regarding 'ntimation under Regulation 30 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015'.",01-Jul-2025 21:25:41,https://nsearchives.nseindia.com/corporate/ZINKA2015_01072025212438_Disclosure_Reg_30.pdf,0.9538,-0.022727272727272724,0.1043018326163292,0.039979298339919644,Neutral
INFY,Infosys Limited,Updates,Infosys Limited has informed the Exchange regarding 'Form 20-F and Press Release'.,01-Jul-2025 21:09:17,https://nsearchives.nseindia.com/corporate/Infosys_01072025210852_Form20F_July012025_1__1_.pdf,-0.2263,-0.07142857142857142,0.06955098360776901,0.3534665668449231,Negative
ALKYLAMINE,Alkyl Amines Chemicals Limited,Shareholders meeting,"Alkyl Amines Chemicals Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on July 01, 2025",01-Jul-2025 21:06:00,https://nsearchives.nseindia.com/corporate/ALKYLAMINE_01072025210343_agmproceedings.pdf,0.9807,0.009539724980901453,-0.016411367803812027,0.14298680856776455,Neutral
