Company,Headline,Description,Time,pdf_link,vader_score,textblob_score,bert_sentiment,confidence,final_sentiment
ADSL,Press Release,"Allied Digital Services Limited has informed the Exchange regarding a press release dated Jun 06, 2025, titled ""Press Release on results announced by the Company for the Quarter and Year ended March 31, 2025"".",06-Jun-2025 01:15:06,https://nsearchives.nseindia.com/corporate/ADSL_06062025011436_Finalpressrelease.pdf,0.9944,0.047504456327985736,0.5351510047912598,0.29474440828296167,Positive
ICICIGI,Updates,ICICI Lombard General Insurance Company Limited has informed the Exchange regarding 'Business Responsibility and Sustainability Report of the Company for FY2025'.,06-Jun-2025 00:40:17,https://nsearchives.nseindia.com/corporate/ICICIGI_06062025003736_SE.pdf,0.9958,0.10082884595079718,0.07341320812702179,0.012522631811532348,Neutral
ICICIGI,Updates,ICICI Lombard General Insurance Company Limited has informed the Exchange regarding 'Environmental Social and Governance Report of the Company for FY2025'.,06-Jun-2025 00:09:59,https://nsearchives.nseindia.com/corporate/ICICIGI_06062025000901_SE_Intimation_ESG_Report.pdf,0.9984,0.1267161410018553,0.5756523609161377,0.41381079884647826,Positive
VMM,ESOP/ESOS/ESPS,Vishal Mega Mart Limited has informed the Exchange regarding Allotment of 23116500  Shares.,06-Jun-2025 09:40:28,https://nsearchives.nseindia.com/corporate/VMMP2024_06062025093958_Intimation_Exercise_ESOPs_June_06_2025.pdf,0.9895,-0.03051948051948052,0.03748726472258568,0.15064384990920882,Neutral
GIPCL,Copy of Newspaper Publication,Gujarat Industries Power Company Limited has informed the Exchange about Copy of Newspaper Publication,06-Jun-2025 10:35:33,https://nsearchives.nseindia.com/corporate/Gipcl7868_06062025103523_SE_IEPF_Reminder2025CS.pdf,0.981,0.09084249084249084,-0.026080265641212463,0.15690218685081592,Neutral
SUNDRMFAST,General Updates,"Sundram Fasteners Limited has submitted the Business Responsibility and Sustainability Report for the year ended March 31, 2025",06-Jun-2025 10:21:44,https://nsearchives.nseindia.com/corporate/SUNDRMFAST_06062025102135_SFLSELetterBRSR2025.pdf,-0.8779,-0.0007913165266106401,0.00241943821310997,0.519026061289505,Negative
RADIANTCMS,Analysts/Institutional Investor Meet/Con. Call Updates,Radiant Cash Management Services Limited has informed the Exchange about Schedule of meet,06-Jun-2025 10:20:39,https://nsearchives.nseindia.com/corporate/RADIANTCASH_06062025101958_RADIANTCMS_Analyst_Meet_Intimationsd.pdf,0.8555,-0.023015873015873014,0.046140510588884354,0.07918753948677623,Neutral
NTPC,General Updates,"NTPC Limited has informed the Exchange about Declaration of COD of first part capacity of 110.25 MW out of 1255 MW Khavda-1 Solar PV Project in Gujarat of NTPC Renewable Energy Limited (NTPC REL), a stepdown subsidiary of NTPC Limited through its subsidiary NTPC Green Energy Limited",06-Jun-2025 10:29:20,https://nsearchives.nseindia.com/corporate/ishkumar_06062025102802_DisclosureKhawda06062025s.pdf,0.7906,-0.031511544011544004,-0.08836071938276291,0.13073853686005094,Neutral
SUNDRMFAST,Shareholders meeting,"Sundram Fasteners Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on Jun 30, 2025",06-Jun-2025 10:13:22,https://nsearchives.nseindia.com/corporate/SUNDRMFAST_06062025101311_SFLSELetterAGMNotice2025.pdf,0.886,-0.014285714285714284,-0.002277582883834839,0.08192408882720131,Neutral
CONCORDBIO,Analysts/Institutional Investor Meet/Con. Call Updates,Concord Biotech Limited has informed the Exchange about Transcript,06-Jun-2025 10:20:22,https://nsearchives.nseindia.com/corporate/CONCORD_06062025102008_Upload.pdf,0.9769,0.10796825396825396,0.11096358299255371,0.006437199044606046,Neutral
RAJRILTD,Updates,Raj Rayon Industries Limited has informed the Exchange regarding 'Machine readable pdf of results already submitted'.,06-Jun-2025 10:10:57,https://nsearchives.nseindia.com/corporate/RAJRAYON1_06062025101015_OutcomeofBMMachin.pdf,0.9842,0.11120448179271707,-0.08947982639074326,0.05406586377078909,Neutral
AKSHOPTFBR,Updates,"Aksh Optifibre Limited has informed the Exchange regarding 'Machine Readable Copy of Financial Results for the Quarter & Year ended March 31, 2025'.",06-Jun-2025 10:02:02,https://nsearchives.nseindia.com/corporate/AKSHOPTFBR_06062025100152_Results.pdf,0.8658,-0.021933621933621923,-0.018804825842380524,0.09263515923133744,Neutral
