Company,Headline,Description,Time,pdf_link,vader_score,textblob_score,bert_sentiment,confidence,final_sentiment
CHOICEIN,General Updates,"Allotment of 60,00,000 Equity Shares by the Security Allotment Committee of the Company on exercise of Warrants by M/s. Plutus Wealth Management LLP .",04-06-2025 14:54,https://nsearchives.nseindia.com/corporate/CHOICE_04062025145404_upload_final.pdf,0.996,-0.022402597,0.104468487,0.029361806,Neutral
AWL,Copy of Newspaper Publication,AWL Agri Business Limited has informed the Exchange about Copy of Newspaper Publication,04-06-2025 15:00,https://nsearchives.nseindia.com/corporate/AWL_04062025150024_PostDispatchAd.pdf,0.6124,0.058791209,-0.045124367,0.146422206,Neutral
YATHARTH,Analysts/Institutional Investor Meet/Con. Call Updates,"Yatharth Hospital & Trauma Care Services Limited has informed the Exchange about  Transcript of Investors  conference call organized on May 27, 2025.",04-06-2025 15:04,https://nsearchives.nseindia.com/corporate/YATHARTH_04062025145654_TranscriptSigned.pdf,0.9969,0.203007246,0.203628883,0.040745972,Neutral
NOCIL,General Updates,NOCIL Limited has informed the Exchange about Disclosure of Receipt of ISO Certification.,04-06-2025 15:00,https://nsearchives.nseindia.com/corporate/NOCIL_04062025150035_Intimation_ISO_Signed.pdf,0.9559,0.064087302,0.309092611,0.029326914,Neutral
GRSE,News Verification,The Exchange has sought clarification from Garden Reach Shipbuilders & Engineers Limited with respect to recent news item captioned Garden Reach Shipbuilders shares hit record high as it signs MoU for India's first polar research ship.  The response from the Company is attached.,04-06-2025 14:53,https://nsearchives.nseindia.com/corporate/GRSE_04062025145242_ReplytoClarification_in_relation_to_newsarticle_appearing_in_Media.pdf,0.8779,0.033714286,-0.140431002,0.108861623,Neutral
KEC,Press Release,"KEC International Limited has informed the Exchange regarding a press release dated Jun 04, 2025, titled ""KEC International wins New Orders of Rs. 2,211 crores."".",04-06-2025 14:53,https://nsearchives.nseindia.com/corporate/KEC_04062025145326_PressRelease.pdf,0.9951,0.078311688,0.7802037,0.360822608,Positive
ASALCBR,Analysts/Institutional Investor Meet/Con. Call Updates,Associated Alcohols & Breweries Ltd. has informed the Exchange about Schedule of meet,04-06-2025 14:53,https://nsearchives.nseindia.com/corporate/ASALCBR_04062025145142_Investormeet10062025.pdf,0.0516,-0.053928571,0.072239682,0.279820036,Negative
RELINFRA,General Updates,"Reliance Infrastructure Limited has informed the Exchange about Disclosure under Regulation 30 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015",04-06-2025 14:52,https://nsearchives.nseindia.com/corporate/RELINFRA_04062025145203_SEDisclosureNCLATOrderIDBImatter04062025.pdf,-0.4404,-0.034054834,-0.05922905,0.431573873,Negative
BEL,Press Release,"Bharat Electronics Limited has informed the Exchange regarding a press release dated Jun 04, 2025, titled ""BEL receives orders worth Rs.537 Crores"".",04-06-2025 14:51,https://nsearchives.nseindia.com/corporate/BEL_04062025144850_Lettersigned.pdf,0.743,0.070741758,-0.034293551,0.108674857,Neutral
NAHARCAP,Updates,"Nahar Capital and Financial Services Limited has informed the Exchange regarding 'Disclosure under Regulation 7(1)(b) of SEBI (Prohibition of Insider Trading) Regulations, 2015'.",04-06-2025 14:50,https://nsearchives.nseindia.com/corporate/NAHARCAP_04062025144802_DisclosureReg7.pdf,0,-0.035551948,0.081837371,0.286646237,Negative
RANASUG,Copy of Newspaper Publication,Rana Sugars Limited has informed the Exchange about Copy of Newspaper Publication,04-06-2025 14:47,https://nsearchives.nseindia.com/corporate/RANASUG_04062025144652_Newspaper_advertisement_30052025.pdf,0.872,0.036607143,0.100042865,0.049659165,Neutral
JPASSOCIAT,Delay/default in the payment of fines/penalties/dues etc. to authority,Jaiprakash Associates Limited has informed the Exchange about Delay/default in the payment of fines/penalties/dues etc. to authority-Month ended May 2025,04-06-2025 14:50,https://nsearchives.nseindia.com/corporate/JPASSOCIAT_04062025144949_Disclosure_of_defaults_on_payment_of_interest_month_ended_May25.pdf,0.8555,0.02039442,-6.48E-05,0.082027397,Neutral
FINCABLES,Analysts/Institutional Investor Meet/Con. Call Updates,Finolex Cables Limited has informed the Exchange about Transcript,04-06-2025 14:44,https://nsearchives.nseindia.com/corporate/CSgayatri_04062025144419_Final_to_upload.pdf,0.9938,0.13517198,0.336482555,0.059618785,Neutral
GRAVITA,Analysts/Institutional Investor Meet/Con. Call Updates,Gravita India Limited has informed the Exchange about Schedule of meet,04-06-2025 14:41,https://nsearchives.nseindia.com/corporate/GRAVITA_04062025143918_investormeet12062025.pdf,0,-0.063452381,-0.117819265,0.342143451,Negative
MVGJL,Analysts/Institutional Investor Meet/Con. Call Updates,Manoj Vaibhav Gems N Jewellers Limited has informed the Exchange about Link of Recording,04-06-2025 14:40,https://nsearchives.nseindia.com/corporate/CSVAIBHAV_04062025143953_Investormeetoutcomemar2025.pdf,-0.3818,-0.001298701,0.024936847,0.389472292,Negative
BANARISUG,Updates,Bannari Amman Sugars Limited has informed the Exchange regarding 'Revised Demand Notice received from Tamilnadu Power Distribution Corporation Ltd'.,04-06-2025 14:29,https://nsearchives.nseindia.com/corporate/BANARISUG_04062025142715_TNEBDemandNotice04062025U5.pdf,-0.5267,-0.014285714,-0.084878251,0.455740369,Negative
INSPIRISYS,General Updates,Inspirisys Solutions Limited has informed the Exchange about General Updates,04-06-2025 14:26,https://nsearchives.nseindia.com/corporate/INSPIRISYS_04062025142638_ISLAnnualReport20242025.pdf,0.6808,0.081970499,-0.047212411,0.125204568,Neutral
ASIANPAINT,Analysts/Institutional Investor Meet/Con. Call Updates,This is to inform you that the Company through its representatives will be participating in the meeting as mentioned in the enclosed intimation. The schedule may undergo change due to exigencies on the part of the Investor/Company. No unpublished price sensitive information of the Company will be shared in the aforesaid meeting.,04-06-2025 14:23,https://nsearchives.nseindia.com/corporate/ASIANPAINT_04062025142223_SEINTIMATIONANALYSTMEET040625.pdf,0,-0.01377551,0.09569969,0.278824028,Negative
NCC,Copy of Newspaper Publication,NCC Limited has informed the Exchange about Copy of Newspaper Publication,04-06-2025 14:23,https://nsearchives.nseindia.com/corporate/NCC_04062025142239_IEPF_Intimation.pdf,0.9864,0.112440476,0.096801817,0.006706819,Neutral
BATAINDIA,Analysts/Institutional Investor Meet/Con. Call Updates,"Bata India Limited has informed about transcript of Post Earnings Call pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",04-06-2025 14:22,https://nsearchives.nseindia.com/corporate/BATAINDIA_04062025141817_SE_Letter_Earnings_Call_Transcript_04062025_Signed.pdf,0.9901,0.074726295,0.650739551,0.125172831,Neutral
YATRA,Copy of Newspaper Publication,Yatra Online Limited has informed the Exchange about Copy of Newspaper Publication confirming dispatch of Postal Ballot Notice.,04-06-2025 14:14,https://nsearchives.nseindia.com/corporate/YATRA2022_04062025141255_Intimation.pdf,0.8555,0.111688312,0.014307298,0.060208224,Neutral
SUPRAJIT,Analysts/Institutional Investor Meet/Con. Call Updates,Suprajit Engineering Limited has informed the Exchange about Transcript,04-06-2025 14:13,https://nsearchives.nseindia.com/corporate/SUPRAJIT_04062025141317_Transcript04June2025.pdf,0.9952,0.112044818,0.71883738,0.35094522,Positive
INSPIRISYS,Record Date,Inspirisys Solutions Limited has informed the Exchange that Record date for the purpose of Annual General Meeting for the year 2024-2025  is 19-Jun-2025.,04-06-2025 14:01,https://nsearchives.nseindia.com/corporate/INSPIRISYS_04062025140132_ISLAGMBookClosure.pdf,0.8176,0.025396825,-0.023301139,0.096342969,Neutral
PCBL,Copy of Newspaper Publication,PCBL Chemical Limited has informed the Exchange about Copy of Newspaper Publication,04-06-2025 14:07,https://nsearchives.nseindia.com/corporate/PCBL_04062025140631_PCBLStockExchangeIntimation.pdf,0.9894,-0.002017625,0.111945607,0.025064709,Neutral
INSPIRISYS,General Updates,Inspirisys Solutions Limited has informed the Exchange about General Updates,04-06-2025 13:57,https://nsearchives.nseindia.com/corporate/INSPIRISYS_04062025135721_ISLAGMNotice.pdf,0.7906,0.037226798,-0.022874266,0.100620614,Neutral
BANARBEADS,Shareholders meeting,"Banaras Beads Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on August 07, 2025",04-06-2025 13:54,https://nsearchives.nseindia.com/corporate/BANARBEADS_04062025135417_AGMNotice.pdf,0.93,0.043915344,0.199788451,0.008769085,Neutral
INSPIRISYS,Shareholders meeting,"Inspirisys Solutions Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on Jun 27, 2025",04-06-2025 13:55,https://nsearchives.nseindia.com/corporate/INSPIRISYS_04062025135457_ISLAGMNotice.pdf,0.7906,0.037226798,-0.022874266,0.100620614,Neutral
IZMO,Investor Presentation,IZMO Limited has informed the Exchange about Investor Presentation,04-06-2025 13:51,https://nsearchives.nseindia.com/corporate/IZMO_04062025135027_Intimation.pdf,0.991,0.096457284,-0.172154143,0.075945938,Neutral
SELAN,Shareholders meeting,Selan Exploration Technology Limited has informed the Exchange regarding Notice of Postal Ballot,04-06-2025 13:47,https://nsearchives.nseindia.com/corporate/SELAN_04062025134607_REG30.pdf,0.836,-0.004262673,-0.022713576,0.097525528,Neutral
KAVVERITEL,Copy of Newspaper Publication,"Kavveri Telecom Products Limited has informed the Exchange about Copy of Newspaper Publication of the financials results for the quarter and financial year ended March 31, 2025.",04-06-2025 13:36,https://nsearchives.nseindia.com/corporate/KAVVERITEL_04062025133614_News_paper_Upload.pdf,0.7351,0.020748299,0.379007131,0.017303566,Neutral
RKFORGE,Copy of Newspaper Publication,Ramkrishna Forgings Limited has informed the Exchange about Copy of Newspaper Publication,04-06-2025 13:34,https://nsearchives.nseindia.com/corporate/RKFORGE_04062025133420_DividendNewspaper.pdf,0.8316,0.060863095,0.144564494,0.156219232,Neutral
NYKAA,Analysts/Institutional Investor Meet/Con. Call Updates,FSN E Commerce Ventures Limited has informed the Exchange about Schedule of meet,04-06-2025 13:30,https://nsearchives.nseindia.com/corporate/NYKAA_04062025133011_SEIntimation.pdf,0.6808,-0.009632035,0.187196955,0.084917852,Neutral
TEJASNET,Copy of Newspaper Publication,Tejas Networks Limited has informed the Exchange about Copy of Newspaper Publication,04-06-2025 13:31,https://nsearchives.nseindia.com/corporate/TEJASNET_04062025133100_Intimation.pdf,0.7906,0.091233766,-0.021534543,0.089483807,Neutral
WCIL,Bagging/Receiving of orders/contracts,Western Carriers (India) Limited has informed the Exchange about Bagging/Receiving of orders/contracts,04-06-2025 13:21,https://nsearchives.nseindia.com/corporate/WCIL_04062025132046_INTIMATIONTOEXCHANGEWCIL_04062025.pdf,0.9657,0.07342033,0.318816692,0.035834965,Neutral
UPL,Credit Rating- Revision,UPL Limited has informed the Exchange about Credit Rating- Revision,04-06-2025 13:20,https://nsearchives.nseindia.com/corporate/UPL_04062025131952_Fitchintimation.pdf,0.9783,0.004244306,0.087784655,0.402369122,Positive
RVHL,Shareholders meeting,Ravinder Heights Limited has informed the Exchange regarding Notice of Postal Ballot,04-06-2025 13:18,https://nsearchives.nseindia.com/corporate/RVHL_04062025131523_coverletter.pdf,0.9709,0.032086168,0.000972271,0.050610568,Neutral
CAPLIPOINT,General Updates,"Caplin Point Laboratories Limited has informed the Exchange about General Updates that Caplin Point Far East Limited, Hong Kong, wholly owned subsidiary of the Company had executed Share Purchase Agreement dated June 03, 2025 for acquiring the entire stake in Triwin Pharma S.A DE C.V.",04-06-2025 13:15,https://nsearchives.nseindia.com/corporate/CAPLINPOINT_04062025131509_Regulation_30_Mexico_Subsidiary_SD.pdf,0.9869,0.032149943,-0.094755411,0.129467584,Neutral
KANPRPLA,Shareholders meeting,"Kanpur Plastipack Limited has informed the Exchange that the revised date of  Extraordinary General Meeting is Jun 11, 2025",04-06-2025 13:11,https://nsearchives.nseindia.com/corporate/KANPRPLA_04062025131110_Outcome_BM_Intimation_corrigendum.pdf,0.7906,0.0727422,0.000710908,0.087620614,Neutral
INTERARCH,Resignation,"Interarch Building Solutions Limited has informed the Exchange regarding Resignation of  Mr. Subhransu Mohanty Vice President-HR as Other of the company w.e.f. July 22, 2025.",04-06-2025 13:09,https://nsearchives.nseindia.com/corporate/INTERARCH1983_04062025130907_Intimation_to_Stock_Exchange_for_Resignation_of_SMP.pdf,0.9952,0.079666264,-0.090230405,0.057769703,Neutral
ANGELONE,ESOP/ESOS/ESPS,Angel One Limited has informed the Exchange regarding Grant of   Options.,04-06-2025 13:08,https://nsearchives.nseindia.com/corporate/ANGEL8896_04062025130713_June042025Intimationofgrants.pdf,0.9952,0.020349702,-0.069544822,0.064515621,Neutral
BSE,Analysts/Institutional Investor Meet/Con. Call Updates,BSE Limited has informed the Exchange about Cancellation of Analyst/Investor meet,04-06-2025 13:08,https://nsearchives.nseindia.com/corporate/BSE1_04062025130642_Nseintimation.pdf,-0.5423,-0.006122449,0.02147124,0.431393843,Negative
KANPRPLA,Outcome of Board Meeting,Kanpur Plastipack Limited has informed the Exchange regarding Outcome of Board Meeting: Corrigendum to the Notice of EGM.,04-06-2025 13:08,https://nsearchives.nseindia.com/corporate/KANPRPLA_04062025130747_Outcome_BM_Intimation_corrigendum.pdf,0.7906,0.0727422,0.000710908,0.087620614,Neutral
ASMS,General Updates,Bartronics India Limited has informed the Exchange about General Updates,04-06-2025 13:06,https://nsearchives.nseindia.com/corporate/BARTRONICS1_04062025130632_PTW_group_MoU__Autosaved_.pdf,0.9501,0.003645833,-0.252264529,0.076082837,Neutral
WELENT,Updates,Welspun Enterprises Limited has informed the Exchange regarding 'Receipt of Provisional Certificate for Commercial Operation ( PCOD ) for the Aunta   Simaria (Ganga Bridge) Project in the State of Bihar under Hybrid Annuity Mode (HAM) ( the Project ).'.,04-06-2025 13:05,https://nsearchives.nseindia.com/corporate/WELENT_04062025130346_Stock_Exchange_disclosure.pdf,0.8689,0.014603175,0.506101966,0.046706979,Neutral
INTERARCH,Cessation,"Interarch Building Solutions Limited has informed the Exchange regarding Cessation of  Mr. Yashpal Soni Senior GM Purchase  as Other of the company w.e.f. May 24, 2025.",04-06-2025 13:05,https://nsearchives.nseindia.com/corporate/INTERARCH1983_04062025130401_Intimation_to_Stock_Exchange_for_Termination_of_SMP.pdf,0.8477,0.050372938,-0.144988269,0.114229044,Neutral
ICICIBANK,General Updates,"ICICI Bank Limited has informed the Exchange about Disclosure under Regulation 30 read with para A of Schedule III and Regulation 46(2) of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015",04-06-2025 13:04,https://nsearchives.nseindia.com/corporate/ICICIBANK11_04062025130306_BSENSE.pdf,0.9313,0.065674603,0.179624975,0.009130259,Neutral
AEGISLOG,Copy of Newspaper Publication,"Aegis Logistics Limited has informed the Exchange about Copy of Newspaper Publication pursuant to Investor Education and Protection Fund Authority (Accounting, Audit, Transfer and Refund) Rules, 2016.",04-06-2025 13:03,https://nsearchives.nseindia.com/corporate/AEGISCHEM_04062025130250_ALL_Newspaper_Advt_IEPF4_S.pdf,0.9648,0.059477009,-0.127840638,0.121142645,Neutral
TATAINVEST,Updates,Tata Investment Corporation Limited has informed the Exchange regarding 'Business Responsibility and Sustainability Report for the Financial Year 2024-25'.,04-06-2025 13:01,https://nsearchives.nseindia.com/corporate/TATAINVEST_04062025130041_TICL_BRSR.pdf,0.9423,0.058527132,0.027701456,0.154210243,Neutral
SUNFLAG,Resignation,"Sunflag Iron And Steel Company Limited has informed the Exchange regarding Resignation of Ms Mukesh Parakh & Associates , PCS as Secretarial Auditor of the company w.e.f. Jun 03, 2025.",04-06-2025 12:57,https://nsearchives.nseindia.com/corporate/SUNFLAG_04062025125548_SE_Disclo_Reg30_resignation_MDP_03062025.pdf,-0.9837,0.089571429,-0.101313382,0.553324093,Negative
