Company,companyname,Headline,Description,Time,pdf_link,vader_score,textblob_score,bert_sentiment,confidence,final_sentiment
MRPL,Mangalore Refinery and Petrochemicals Limited,Appointment,"Mangalore Refinery and Petrochemicals Limited has informed the Exchange regarding Appointment of Shri. N. Anandha Kumar as Executive Director (Refinery) of the company w.e.f. July 02, 2025.",02-Jul-2025 14:55:54,https://nsearchives.nseindia.com/corporate/MRPL_02072025145532_APPOINTMENTOFEXECUTIVEDIRECTORREFINERY.pdf,0.4767,0.006984126984126989,-0.0056775473058223724,0.18084502227176277,Neutral
AFFLE,Affle 3i Limited,Analysts/Institutional Investor Meet/Con. Call Updates,Affle 3i Limited has informed the Exchange about Schedule of meet,02-Jul-2025 14:55:10,https://nsearchives.nseindia.com/corporate/AFFLE_02072025145358_IntimationofAnalystInvestorMeetings_02072025.pdf,-0.34,-0.053968253968253964,0.08758800476789474,0.37389396739266223,Negative
VISHNU,Vishnu Chemicals Limited,Record Date,Vishnu Chemicals Limited has informed the Exchange that Record date for the purpose of Dividend  is 08-Aug-2025.,02-Jul-2025 14:57:19,https://nsearchives.nseindia.com/corporate/VISHNU_02072025145322_Intimation_of_Record_Date_Signed.pdf,0.91,0.02571428571428571,0.16408053040504456,0.17366842568772184,Neutral
SUPERHOUSE,Superhouse Limited,Copy of Newspaper Publication,Superhouse Limited has informed the Exchange about Copy of Newspaper Publication,02-Jul-2025 14:57:11,https://nsearchives.nseindia.com/corporate/share_02072025145702_AdvertisementfortransferofsharestoIEPF.pdf,0.8442,-0.009523809523809523,-0.06964048743247986,0.09173983692498436,Neutral
ERIS,Eris Lifesciences Limited,Copy of Newspaper Publication,Eris Lifesciences Limited has informed the Exchange about Copy of Newspaper Publication,02-Jul-2025 14:53:02,https://nsearchives.nseindia.com/corporate/ERIS_02072025144847_inti.pdf,-0.9657,0.0008928571428571466,-0.0009448230266571045,0.5414752850753921,Negative
WAAREEENER,Waaree Energies Limited,Resignation of Independent director,WAAREE ENERGIES LIMITED has informed the Exchange about Resignation of Independent director.,02-Jul-2025 14:50:59,https://nsearchives.nseindia.com/corporate/WAAREEENER_ROID_58884_KMP_Doc.zip,-0.5267,-0.023809523809523808,-0.037274062633514404,0.441974131558055,Negative
ABREL,Aditya Birla Real Estate Limited,Copy of Newspaper Publication,Aditya Birla Real Estate Limited has informed the Exchange about Copy of Newspaper Publication,02-Jul-2025 14:50:41,https://nsearchives.nseindia.com/corporate/CENTURYTEX_02072025145010_Finalpreadvst.pdf,0.1531,0.03501552795031057,-0.014193881303071976,0.05826703879652739,Neutral
RSWM,RSWM Limited,General Updates,"RSWM Limited has informed the Exchange about Disclosure under Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015.",02-Jul-2025 14:50:29,https://nsearchives.nseindia.com/corporate/RSWM_02072025145014_Penalty_Letter_02-07-2025.pdf,0.1531,0.03260101010101011,-0.11825212836265564,0.2835713145103117,Negative
GOLDTECH,AION-TECH SOLUTIONS LIMITED,Acquisition-XBRL,AION-TECH SOLUTIONS LIMITED has informed the Exchange regarding Acquisition,02-Jul-2025 14:49:28,https://nsearchives.nseindia.com/corporate/xbrl/REG30_Restructuring_1476327_02072025024927_WEB.xml,-0.0516,-0.07142857142857142,0.01008646935224533,0.12459748875711646,Neutral
NIITMTS,NIIT Learning Systems Limited,Alteration Of Capital and Fund Raising-XBRL,NIIT Learning Systems Limited has informed the Exchange regarding Allotment of Securities,02-Jul-2025 14:48:03,https://nsearchives.nseindia.com/corporate/xbrl/ALTERATION_OF_CAPITAL_AND_FUND_RAISING_1476325_02072025024802_WEB.xml,0.0772,-0.07142857142857142,-0.008006082847714424,0.29647813384522287,Negative
