Stock Name,Description (Short Summary),News Type,News Sentiment,News Source
Reliance Industries,"Jio Platforms to raise $2.5 billion from Google, others",Strategic Decision,Positive,Moneycontrol
Tata Motors,"Q4 profit up 15%, strong demand for EVs",Quarterly Result,Positive,Economic Times
Infosys,Wins $1 billion digital transformation deal from BP,New Order,Positive,Reuters
HDFC Bank,"Board approves ₹15,000 crore bond issue",Company Event,Positive,BSE India
Wipro,"Q4 revenue grows 3%, margins under pressure",Quarterly Result,Negative,LiveMint
ICICI Bank,Launches new MSME loan scheme with lower rates,Company Event,Positive,Trade Brains
SBI,Reports 20% YoY profit growth in Q4,Quarterly Result,Positive,Bloomberg Quint
Bajaj Finance,"Q4 profit up 25%, strong loan growth",Quarterly Result,Positive,Moneycontrol
Axis Bank,Partners with Mastercard for digital payments,Strategic Decision,Positive,Economic Times
Maruti Suzuki,"April sales up 10%, strong demand for SUVs",Major Development,Positive,NSE India
ITC,"Launches new FMCG products, expands portfolio",Company Event,Positive,LiveMint
HCL Tech,"Q4 revenue grows 5%, margins stable",Quarterly Result,Neutral,Reuters
Kotak Mahindra Bank,"Q4 profit up 18%, strong retail growth",Quarterly Result,Positive,BSE India
L&T,"Wins ₹2,000 crore infrastructure project in Gujarat",New Order,Positive,Economic Times
Asian Paints,"Q4 profit up 12%, strong rural demand",Quarterly Result,Positive,Moneycontrol
Sun Pharma,Launches new generic drug in US market,Company Event,Positive,LiveMint
ONGC,Q4 profit down 10% due to lower oil prices,Quarterly Result,Negative,Bloomberg Quint
NTPC,Commissions new 660 MW power unit in MP,Major Development,Positive,Trade Brains
Power Grid,Board approves interim dividend of ₹3/share,Company Event,Positive,BSE India
UltraTech Cement,"Q4 profit up 15%, strong demand recovery",Quarterly Result,Positive,Moneycontrol
IndusInd Bank,"Q4 profit up 20%, strong credit growth",Quarterly Result,Positive,Economic Times
Cipla,Receives USFDA approval for generic drug,Company Event,Positive,Reuters
M&M,"April tractor sales up 12%, strong rural demand",Major Development,Positive,NSE India
Dr. Reddy's Labs,Launches new COVID-19 drug in India,Company Event,Positive,LiveMint
GAIL,"Q4 profit up 8%, strong gas demand",Quarterly Result,Positive,Bloomberg Quint
Titan Company,"Q4 profit up 25%, strong jewellery sales",Quarterly Result,Positive,Moneycontrol
