Stock Name,Description (Short Summary),News Type,News Sentiment,News Source
Reliance Industries,"Jio Platforms to raise $2.5 billion from Google, others",Strategic Decision,Positive,Moneycontrol
Tata Motors,"Q4 profit up 15%, strong demand for EVs",Quarterly Result,Positive,Economic Times
Infosys,Wins $1 billion digital transformation deal from BP,New Order,Positive,Reuters
HDFC Bank,"Board approves ₹15,000 crore fundraising plan",Company Event,Positive,BSE India
Wipro,"Q4 profit misses estimates, guidance weak",Quarterly Result,Negative,Bloomberg Quint
ICICI Bank,Launches new MSME loan scheme with lower rates,Company Event,Positive,LiveMint
Axis Bank,"Q4 profit up 20%, NPA ratio improves",Quarterly Result,Positive,Moneycontrol
SBI,"To raise ₹10,000 crore via infrastructure bonds",Company Event,Positive,Economic Times
Bajaj Finance,"Q4 profit up 30%, strong loan growth",Quarterly Result,Positive,Trade Brains
Maruti Suzuki,"April sales up 10%, strong demand for SUVs",Earnings Update,Positive,NSE India
ITC,"Q4 profit up 12%, strong FMCG growth",Quarterly Result,Positive,Moneycontrol
HCL Tech,Wins $500 million cloud deal from European client,New Order,Positive,Reuters
L&T,"Secures ₹2,000 crore defense order from MoD",New Order,Positive,Army Recognition
Kotak Mahindra Bank,"Q4 profit up 18%, strong retail growth",Quarterly Result,Positive,Economic Times
Asian Paints,"Q4 profit up 10%, raw material costs rise",Quarterly Result,Neutral,LiveMint
Sun Pharma,Launches new diabetes drug in US market,Company Event,Positive,Moneycontrol
ONGC,"Q4 profit down 15%, crude prices impact",Quarterly Result,Negative,Bloomberg Quint
NTPC,Signs MoU with Greenko for renewable energy projects,Strategic Decision,Positive,BSE India
Power Grid,"Q4 profit up 12%, strong transmission growth",Quarterly Result,Positive,NSE India
UltraTech Cement,"Q4 profit up 15%, strong demand in rural areas",Quarterly Result,Positive,Economic Times
IndusInd Bank,"Q4 profit up 25%, strong credit growth",Quarterly Result,Positive,Moneycontrol
Cipla,Receives USFDA approval for generic drug,Company Event,Positive,Reuters
Dr. Reddy’s Labs,"Q4 profit up 10%, strong US sales",Quarterly Result,Positive,Bloomberg Quint
Titan Company,"Q4 profit up 20%, strong jewelry demand",Quarterly Result,Positive,LiveMint
Eicher Motors,"April sales up 8%, strong Royal Enfield demand",Earnings Update,Positive,Trade Brains
Adani Ports,"Q4 profit up 18%, strong cargo volumes",Quarterly Result,Positive,Moneycontrol
Bharti Airtel,Launches 5G services in 5 more cities,Company Event,Positive,Economic Times
Grasim Industries,"Q4 profit up 12%, strong textile segment growth",Quarterly Result,Positive,BSE India
