Stock Name,Description (Short Summary),News Type,News Sentiment,News Source
Reliance Industries,Jio Platforms to raise $2.5 billion from new investors,Strategic Decision,Positive,Moneycontrol
Tata Motors,"Q4 profit surges 45% YoY, strong JLR sales",Quarterly Result,Positive,Economic Times
Infosys,Wins $1.5 billion digital transformation deal,New Order,Positive,NSE India
HDFC Bank,"Board approves ₹15,000 crore bond issuance",Company Event,Positive,BSE India
Wipro,"Q4 revenue grows 3.2%, margins improve",Quarterly Result,Positive,LiveMint
ICICI Bank,Launches new MSME loan scheme with lower rates,Company Event,Positive,Bloomberg Quint
SBI,"Reports 20% rise in Q4 profit, NPA ratio improves",Quarterly Result,Positive,Trade Brains
Bajaj Finance,"Q4 profit up 30%, strong loan growth",Quarterly Result,Positive,Groww
Maruti Suzuki,"April sales rise 10%, strong demand for SUVs",Major Development,Positive,Economic Times
Axis Bank,Partners with Google Pay for UPI integration,Strategic Decision,Positive,Moneycontrol
L&T,"Secures ₹3,000 crore defense contract",New Order,Positive,Army Recognition
HCL Tech,"Q4 revenue grows 5.2%, margins stable",Quarterly Result,Positive,NSE India
Kotak Mahindra Bank,"Q4 profit up 18%, strong retail growth",Quarterly Result,Positive,BSE India
Asian Paints,Q4 profit dips 5% due to raw material costs,Quarterly Result,Negative,LiveMint
ITC,"Launches new FMCG products, expands portfolio",Company Event,Positive,Economic Times
NTPC,Commissions 250 MW solar project in Rajasthan,Major Development,Positive,Moneycontrol
Power Grid,Signs MoU with NHPC for green energy projects,Strategic Decision,Positive,BSE India
ONGC,Q4 profit falls 15% due to lower oil prices,Quarterly Result,Negative,Reuters
Sun Pharma,Receives USFDA approval for generic drug,Major Development,Positive,Bloomberg Quint
Cipla,Launches affordable COVID-19 treatment kit,Company Event,Positive,LiveMint
Dr. Reddy’s Labs,"Q4 profit up 20%, strong US sales",Quarterly Result,Positive,Trade Brains
IndusInd Bank,"Q4 profit rises 15%, strong retail growth",Quarterly Result,Positive,Groww
M&M,"April tractor sales rise 12%, strong rural demand",Major Development,Positive,Economic Times
UltraTech Cement,"Q4 profit up 10%, strong volume growth",Quarterly Result,Positive,Moneycontrol
Titan Company,"Q4 profit surges 35%, strong jewelry sales",Quarterly Result,Positive,NSE India
Bharti Airtel,Launches 5G services in 5 more cities,Major Development,Positive,BSE India
Adani Ports,"Q4 profit up 12%, strong cargo volumes",Quarterly Result,Positive,Reuters
Grasim Industries,Q4 profit falls 8% due to higher costs,Quarterly Result,Negative,LiveMint
Vedanta,"Q4 profit up 25%, strong metal prices",Quarterly Result,Positive,Bloomberg Quint
Eicher Motors,April Royal Enfield sales rise 15%,Major Development,Positive,Economic Times
Nestle India,"Q4 profit up 10%, strong domestic sales",Quarterly Result,Positive,Moneycontrol
