Stock Name,Description (Short Summary),News Type,News Sentiment,News Source
Reliance Industries,Jio Platforms to raise $2.5 billion from private equity firms,Strategic Decision,Positive,Moneycontrol
Tata Motors,"Q4 profit surges 45% YoY, strong demand for EVs",Quarterly Result,Positive,Economic Times
Infosys,Wins $1 billion digital transformation deal from European client,New Order,Positive,NSE India
HDFC Bank,"Board approves ₹15,000 crore share buyback plan",Company Event,Positive,BSE India
Wipro,"Q4 revenue grows 3.2%, margins improve",Quarterly Result,Positive,LiveMint
ICICI Bank,Launches new MSME loan scheme with lower interest rates,Company Event,Positive,Bloomberg Quint
Axis Bank,"Q4 net profit up 22%, NPA ratio declines",Quarterly Result,Positive,Trade Brains
Bajaj Finance,Reports 30% YoY growth in Q4 profit,Quarterly Result,Positive,Groww
Maruti Suzuki,April sales decline 10% due to chip shortage,Major Development,Negative,Economic Times
SBI,"Q4 profit jumps 81%, asset quality improves",Quarterly Result,Positive,Moneycontrol
Kotak Mahindra Bank,"Q4 profit up 25%, strong growth in retail loans",Quarterly Result,Positive,LiveMint
L&T,"Secures ₹3,000 crore order for metro rail project",New Order,Positive,BSE India
Asian Paints,"Q4 profit rises 15%, strong demand in tier-II cities",Quarterly Result,Positive,Reuters
HCL Technologies,"Q4 revenue grows 5.2%, margins under pressure",Quarterly Result,Neutral,NSE India
ITC,"Q4 profit up 10%, strong performance in FMCG segment",Quarterly Result,Positive,Economic Times
Bharti Airtel,Launches 5G services in 100 more cities,Company Event,Positive,Moneycontrol
Sun Pharma,Q4 profit declines 12% due to higher expenses,Quarterly Result,Negative,LiveMint
ONGC,"Q4 profit up 15%, strong crude oil prices",Quarterly Result,Positive,Bloomberg Quint
NTPC,"Q4 profit rises 8%, focus on renewable energy",Quarterly Result,Positive,Trade Brains
Power Grid,"Q4 profit up 12%, strong transmission network growth",Quarterly Result,Positive,Groww
Coal India,"Q4 profit jumps 30%, higher coal production",Quarterly Result,Positive,Reuters
UltraTech Cement,"Q4 profit rises 18%, strong demand in infrastructure",Quarterly Result,Positive,Economic Times
Titan Company,"Q4 profit up 20%, strong jewelry sales",Quarterly Result,Positive,Moneycontrol
IndusInd Bank,"Q4 profit grows 15%, NPA ratio improves",Quarterly Result,Positive,LiveMint
Adani Ports,"Q4 profit up 10%, strong cargo volumes",Quarterly Result,Positive,BSE India
Cipla,"Q4 profit declines 8%, margin pressure persists",Quarterly Result,Negative,NSE India
Dr. Reddy's Labs,Launches new generic drug in the US market,Company Event,Positive,Bloomberg Quint
Eicher Motors,"Q4 profit rises 15%, strong Royal Enfield sales",Quarterly Result,Positive,Trade Brains
Grasim Industries,"Q4 profit up 25%, strong performance in textiles",Quarterly Result,Positive,Groww
Vedanta,"Q4 profit jumps 40%, higher metal prices",Quarterly Result,Positive,Reuters
