Company,Headline,Description,Time,pdf_link,vader_score,textblob_score,bert_sentiment,confidence,final_sentiment,Chart_Pattern,Tech_Indicator
Super Tannery Ltd,FINANCIAL RESULT FOR 31-MAR-2025,SUPER TANNERY LIMITEDRead less..,Unknown Time,https://www.bseindia.com/xml-data/corpfiling/AttachLive/1eead783-d318-4990-8f7f-2b6e3709d12e.pdf,0.9753,0.1117216117216117,0.0103099569678306,0.6267294706068327,Positive,,
Accel Ltd,Audited Standalone And Consolidated Financial Results,Outcome of Board Meeting Held on 29th May 2025-Audited Standalone and Consolidated Financial Results.Read less..,Unknown Time,https://www.bseindia.com/xml-data/corpfiling/AttachLive/fcec205e-bb00-4158-8334-58b8f5cda9d6.pdf,0.9201,0.0115826330532212,0.0873239040374755,0.597711961127209,Positive,,
ZR2 Bioenergy Ltd,"Audited Financial Result For The Quarter And Year Ended March 31, 2025","Audited financial result for the quarter and year ended March 31, 2025",30-05-2025 11:09:35,https://www.bseindia.com/xml-data/corpfiling/AttachLive/7f9d73ec-0d5f-47ba-a1ad-3501eff6c919.pdf,0.9081,0.0393939393939394,0.025869283825159,0.3828189669657296,Positive,,
Howard Hotels Ltd,Results-Financial Results For The Quarter And Financial Year Ended 31.03.2025.,Financial Results for the Quarter and Financial Year ended 31.03.2025.,30-05-2025 10:51:22,https://www.bseindia.com/xml-data/corpfiling/AttachLive/fefc7923-578a-4e09-804d-1067a1a3677f.pdf,0.7845,-0.0310374149659863,-0.0060609839856624,0.3026704803145053,Positive,,
HOV Services Ltd,"HOV Services Limited Has Informed The Exchange Regarding Outcome Of Board Meeting Held On May 30, 2025 Along With Audited Results And Other Disclosures Matter.","Financial results and outcome of Board meeting held on May 30, 2025",30-05-2025 10:41:28,https://www.bseindia.com/xml-data/corpfiling/AttachLive/50a3d064-5613-48da-a05d-662460c463d3.pdf,0.8519,-0.0317765567765567,-0.0198182500898838,0.3252815579400678,Positive,,
Teesta Agro Industries Ltd,Result For Year Ended 31.03.2025,Audited Financial Results for the year ended 31.03.2025,30-05-2025 13:46:59,https://www.bseindia.com/xml-data/corpfiling/AttachLive/982e7bdc-f1a1-4e75-84e1-1dcda622baa6.pdf,0.946,0.11,0.0867158472537994,0.4374147541761398,Positive,,
Sharda Ispat Ltd,"Financial Results For The Quarter And Year Ended 31St March, 2025","Financial results for the Quarter and year ended 31st March, 2025.",30-05-2025 13:46:34,https://www.bseindia.com/xml-data/corpfiling/AttachLive/ddc5bceb-19b0-472c-977f-2dae98ea74cd.pdf,0.4215,0.0298701298701298,-0.0160610824823379,0.1727427142163375,Positive,,
Reliance Chemotex Industries Ltd-$,"Financial Results For The Quarter And Year Ended On 31St March, 2025","Pursuant to the provisions of regulation 30 & 33 of SEBI (LODR), financial results for the quarter and year ended on 31st March, 2025 has been considered and approved by the board in its .... Read More..",30-05-2025 13:43:17,https://www.bseindia.com/xml-data/corpfiling/AttachLive/c862d715-10bb-4c0e-ad22-8acb0e23209c.pdf,0.836,-0.0354166666666666,0.0031080618500709,0.3247074185550213,Positive,Inverse Head and Shoulders,"Supertrend, ADX Signal, CMF Signal"
Dynemic Products Ltd,"Results-Financial Results For March 31, 2025","Results-Financial Results for March 31, 2025",30-05-2025 13:41:28,https://www.bseindia.com/xml-data/corpfiling/AttachLive/6a0b2cad-5e20-4f2b-8ca0-874b00f25ab1.pdf,0.9313,0.0545454545454545,0.1116425096988678,0.4223763892732967,Positive,Inverse Head and Shoulders,
Ganon Products Ltd,FINANCIAL RESULT FOR 4TH QTR AND YEAR ENDED 31.03.2025,FINANCIAL RESULT FOR 4TH QTR AND YEAR ENDED 31.03.2025,30-05-2025 13:41:19,https://www.bseindia.com/xml-data/corpfiling/AttachLive/6acf6491-1555-4501-b9ec-fccb82689bf6.pdf,0.8225,0.0204081632653061,0.0767401754856109,0.3581445016252751,Positive,,
