"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT","FILE SIZE"
"BEML","BEML Limited","Dividend","BEML Limited has informed the Exchange that Board of Directors at its meeting held on Jun 06, 2025, recommended Final Dividend of 1.20 per equity share.","06-Jun-2025 10:47:07","2025-06-06 10:47:07","06-Jun-2025 10:47:08","00:00:01","https://nsearchives.nseindia.com/corporate/BEML_06062025104317_BSOUTCOMEsigned.pdf","1.03 MB"
"SRHHYPOLTD","Sree Rayalaseema Hi-Strength Hypo Limited","Spurt in Volume","Significant increase in volume has been observed in Sree Rayalaseema Hi-Strength Hypo Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so that the interest of the investors is safeguarded, had written to the company. Sree Rayalaseema Hi-Strength Hypo Limited has submitted their response.","06-Jun-2025 10:45:58","2025-06-06 10:45:58","06-Jun-2025 10:45:59","00:00:01","https://nsearchives.nseindia.com/corporate/SRHHYPOLTD_06062025104530_NSE-Reply.pdf","347 KB"
"GIPCL","Gujarat Industries Power Company Limited","Copy of Newspaper Publication","Gujarat Industries Power Company Limited has informed the Exchange about Copy of Newspaper Publication","06-Jun-2025 10:35:33","2025-06-06 10:35:33","06-Jun-2025 10:35:35","00:00:02","https://nsearchives.nseindia.com/corporate/Gipcl7868_06062025103523_SE_IEPF_Reminder2025CS.pdf","974 KB"
"NTPC","NTPC Limited","General Updates","NTPC Limited has informed the Exchange about Declaration of COD of first part capacity of 110.25 MW out of 1255 MW Khavda-1 Solar PV Project in Gujarat of NTPC Renewable Energy Limited (NTPC REL), a stepdown subsidiary of NTPC Limited through its subsidiary NTPC Green Energy Limited","06-Jun-2025 10:29:20","2025-06-06 10:29:20","06-Jun-2025 10:29:21","00:00:01","https://nsearchives.nseindia.com/corporate/ishkumar_06062025102802_DisclosureKhawda06062025s.pdf","1.40 MB"
"SUNDRMFAST","Sundram Fasteners Limited","General Updates","Sundram Fasteners Limited has submitted the Business Responsibility and Sustainability Report for the year ended March 31, 2025","06-Jun-2025 10:21:44","2025-06-06 10:21:44","06-Jun-2025 10:21:45","00:00:01","https://nsearchives.nseindia.com/corporate/SUNDRMFAST_06062025102135_SFLSELetterBRSR2025.pdf","503 KB"
"RADIANTCMS","Radiant Cash Management Services Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Radiant Cash Management Services Limited has informed the Exchange about Schedule of meet","06-Jun-2025 10:20:39","2025-06-06 10:20:39","06-Jun-2025 10:20:40","00:00:01","https://nsearchives.nseindia.com/corporate/RADIANTCASH_06062025101958_RADIANTCMS_Analyst_Meet_Intimationsd.pdf","218 KB"
"CONCORDBIO","Concord Biotech Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Concord Biotech Limited has informed the Exchange about Transcript","06-Jun-2025 10:20:22","2025-06-06 10:20:22","06-Jun-2025 10:20:23","00:00:01","https://nsearchives.nseindia.com/corporate/CONCORD_06062025102008_Upload.pdf","425 KB"
"SUNDRMFAST","Sundram Fasteners Limited","Shareholders meeting","Sundram Fasteners Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on Jun 30, 2025","06-Jun-2025 10:13:22","2025-06-06 10:13:22","06-Jun-2025 10:13:22","00:00:00","https://nsearchives.nseindia.com/corporate/SUNDRMFAST_06062025101311_SFLSELetterAGMNotice2025.pdf","399 KB"
"RAJRILTD","Raj Rayon Industries Limited","Updates","Raj Rayon Industries Limited has informed the Exchange regarding 'Machine readable pdf of results already submitted'.","06-Jun-2025 10:10:57","2025-06-06 10:10:57","06-Jun-2025 10:10:59","00:00:02","https://nsearchives.nseindia.com/corporate/RAJRAYON1_06062025101015_OutcomeofBMMachin.pdf","5.13 MB"
"AKSHOPTFBR","Aksh Optifibre Limited","Updates","Aksh Optifibre Limited has informed the Exchange regarding 'Machine Readable Copy of Financial Results for the Quarter & Year ended March 31, 2025'.","06-Jun-2025 10:02:02","2025-06-06 10:02:02","06-Jun-2025 10:02:03","00:00:01","https://nsearchives.nseindia.com/corporate/AKSHOPTFBR_06062025100152_Results.pdf","12.25 MB"
